grupo,categoria,tipo_producto,titulo,pais_revista,revista,ISSN,ano,vol,fasc,pags,DOI,autores,id
LUES,Artículos publicados,Publicado en revista especializada,De narrativas de la violencia a narrativas del perdón: aproximación desde crónicas periodísticas Colombianas,Colombia,Justicia ,0124-7441,2021,26,39 ,129 - 152,10.17081/just,"JORGE EDUARDO VASQUEZ SANTAMARIA, NATALIA ANDREA ALZATE ALZATE",1
LUES,Artículos publicados,Publicado en revista especializada,Tramas de la libertad y la igualdad: experiencias de mujeres excombatientes de las FARC-EP,Colombia,Colombia Internacional (On Line) ,1900-6004,2020,104,N/A ,157 - 182,10.7440/colombiaint104.2020.06,"JENNY MARCELA ACEVEDO VALENCIA, STEFANI CASTANO TORRES, MONICA LONDONO MARTINEZ",2
LUES,Artículos publicados,Corto (Resumen),"Factores asociados al estrés postraumático en personas víctimas del desplazamiento forzado en tres ciudades de Colombia, 2016",Colombia,Revista Biomédica ,0188-493X,2017,37,3 ,43 - 43, https://doi.org/10.7705/issn.0120-4157,SANTIAGO ALBERTO MORALES MESA,4
LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,Chile,REVISTA AUSTRAL DE CIENCIAS SOCIALES ,0718-1795,2017,32, ,143 - 166,,"SANTIAGO ALBERTO MORALES MESA, BEATRIZ ELENA GARCIA CHACON, JENNY MARCELA ACEVEDO VALENCIA, OLGA LUCIA ARBOLEDA ALVAREZ",5
LUES,Artículos publicados,Publicado en revista especializada,"Reflexividad dialógica, como experiencia de epistemes sentipensantes y solidarias",Colombia,El Ágora Usb ,1657-8031,2017,17,N/A ,255 - 264,,ALFREDO MANUEL GHISO COTOS,8
LUES,Artículos publicados,Publicado en revista especializada,Profesionalizacion de pedagogos sociales en latinoamerica.Otra lectura a los tránsitos entre la educacion popular y la pedagogía social.,Colombia,El Ágora Usb ,1657-8031,2016,16,1 ,63 - 75,,ALFREDO MANUEL GHISO COTOS,9
LUES,Artículos publicados,Corto (Resumen),Conocimientos e información sobre el HIV y las prácticas sexuales de riesgo en estudiantes universitarios,Colombia,Biomedica ,0120-4157,2015,1,35 ,123 - 123,,"SANTIAGO ALBERTO MORALES MESA, OLGA LUCIA ARBOLEDA ALVAREZ, ANGELA MARIA SEGURA CARDONA",10
LUES,Artículos publicados,Publicado en revista especializada,"Parental Expectations and Prosocial Behavior of Adolescents From Low-Income Backgrounds: A Cross-Cultural Comparison Between Three Countries--Argentina,Colombia, and Spain",Estados Unidos,Journal of Cross-Cultural Psychology ,0022-0221,2014,45,9 ,1471 - 1488,0022022114542284,"SANTIAGO ALBERTO MORALES MESA, EDISON FRANCISCO VIVEROS CHAVARRIA",11
LUES,Artículos publicados,Publicado en revista especializada,Las prácticas sexuales de riesgo al VIH en población universitaria,Colombia,Revista de Salud Pública ,0124-0064,2014,16,1 ,27 - 39,,"SANTIAGO ALBERTO MORALES MESA, OLGA LUCIA ARBOLEDA ALVAREZ, ANGELA MARIA SEGURA CARDONA",12
LUES,Artículos publicados,Publicado en revista especializada,"Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",México,Ra Ximhai ,1665-0441,2013,9,3 ,209 - 234,,ALFREDO MANUEL GHISO COTOS,14
LUES,Artículos publicados,Publicado en revista especializada,Riesgos psicosociales y actitudes sobre prácticas sexuales bajo el efecto del alcohol o drogas en adolescentes de la ciudad de Medellín,Colombia,Universitas Psychologica ,1657-9267,2013,12,3 ,887 - 898,10.11144/Javeriana.UPSY12-3.rpap,"SANTIAGO ALBERTO MORALES MESA, GUILLERMO CASTANO PEREZ, MARIA CAROLINA MONTOYA MONTOYA, OLBER EDUARDO ARANGO, OLBER EDUARDO ARANGO TOBON, ALEXANDER RODRIGUEZ BUSTAMANTE, GUILLERMO ALONSO CASTANO PEREZ",15
LUES,Artículos publicados,Publicado en revista especializada,Experiencias participativas en familias desplazadas de Moravia y Altos de la Virgen.,Colombia,Revista Facultad De Trabajo Social Upb ,0121-1722,2013,29, , 65 - 82,,JENNY MARCELA ACEVEDO VALENCIA,16
LUES,Artículos publicados,Publicado en revista especializada,Riesgos y consecuencias de las prácticas sexuales en adolescentes bajo los efectos de alcohol y otras drogas,Cuba,Revista Cubana de Pediatria ,1561-3119,2013,85,1 ,1 - 5,,"SANTIAGO ALBERTO MORALES MESA, OLBER EDUARDO ARANGO, MARIA CAROLINA MONTOYA MONTOYA, ALEXANDER RODRIGUEZ BUSTAMANTE, OLBER EDUARDO ARANGO TOBON, GUILLERMO  ALONSO CASTANO PEREZ, GUILLERMO ALONSO CASTANO PEREZ",17
LUES,Artículos publicados,Publicado en revista especializada,Consumo de drogas y prácticas sexuales de los adolescentes de la ciudad de Medellín (Colombia),España,Adicciones ,0214-4840,2012,24,4 ,347 - 353,,"SANTIAGO ALBERTO MORALES MESA, MARIA CAROLINA MONTOYA MONTOYA, OLBER EDUARDO ARANGO, GUILLERMO  ALONSO CASTANO PEREZ, OLBER EDUARDO ARANGO TOBON, ALEXANDER RODRIGUEZ BUSTAMANTE, GUILLERMO ALONSO CASTANO PEREZ",18
LUES,Artículos publicados,Publicado en revista especializada,"Prácticas universitarias, responsabilidad, reflexividad y solidaridad en contextos fragmentados e inestables",Colombia,Voces Y Sentidos De Las Prácticas Académicas ,2145-0978,2012,5,N/A ,40 - 55,,ALFREDO MANUEL GHISO COTOS,19
