grupo,categoria,tipo_producto,titulo_capitulo,pais,ano,titulo_libro,ISBN,vol,pags,editorial,autores
CONTAS,Capítulos de libro publicados,Capítulo de libro,Deber ser + moral= imaginario del contador público,Argentina,2022,La obra de mario biondi - la obra de rafael franco ruiz ,978-987-660-350-8, ,169 - 178,FONDO EDITORIAL CONSEJO,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,Reflexiones sobre la necesidad de fortalecer el componente ètico en la contaduria pùblica.,Colombia,2021,El perfil de contador publico en el siglo XXI,978-958-503-120-3, ,17 - 22,Ediciones Ecoe,SOL BEATRIZ VELEZ ESCOBAR
CONTAS,Capítulos de libro publicados,Capítulo de libro,Pequeños contribuyentes: punto de inflexión y reflexión sobre constitucionalidad del sistema tributario colombiano,Colombia,2021,auditoría y educación ,9789587634907, ,144 - 151,uniminuto,RUBY STELLA CABRERA JARAMILLO
CONTAS,Capítulos de libro publicados,Capítulo de libro,La contabilidad ambiental: del valor agregado a la necesidad empresarial,Colombia,2020,sus devenires y prácticas sociales,-978-980-11-1985-2, ,74 - 89,Biblioteca Universidad De Los Andes,SOL BEATRIZ VELEZ ESCOBAR
CONTAS,Capítulos de libro publicados,Capítulo de libro,Contabilidad verde y desarrollo sostenible: tendencias y perspectivas,Venezuela,2020,Tendencias en la Investigación Universitaria Una visión desde Latinoamérica,978-980-7857-25-3, ,107 - 119,Universitario Servando Garcés de la Universidad Politécnica Territorial de Falcón Alonso Gamero. Santa Ana de Coro,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,Mitigación de los residuos sólidos de tres constructoras de la ciudad de Medellín: un caso de éxito para implementar en el departamento de Bolívar,Colombia,2020,Residuos Sólidos Una nueva alternativa de aprovechamiento para los municipios de Bolívar,978-958-53184-4-1, ,127 - 151,©Ediciones Universidad Simón Bolívar,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,La formación de estudiantes de las facultades y escuelas afiliadas a la asociación latinoamericana de facultades y escuelas de contaduría y administración,Colombia,2019,El reto de las organizaciones educativas de nivel superior del área económico-administrativa de México y América Latina en un entorno de desarrollo sostenible,977-607-30-2222-4, ,78 - 81,Universidad Autónoma de México ,"CANDY LORENA CHAMORRO GONZALEZ, MARIELA VELASQUEZ PEREZ"
CONTAS,Capítulos de libro publicados,Capítulo de libro,LA EDUCACIÓN DENTRO DEL MARCO DE LAS PRETENSIONES DE LA AGENDA 2015-2030,México,2019,El reto de las organizaciones educativas de nivel superior del área económico-administrativa de México y América Latina en un entorno de desarrollo sostenible,977-607-30-2222-4, ,82 - 87,Universidad Nacional Autonoma de México,RUBY STELLA CABRERA JARAMILLO
CONTAS,Capítulos de libro publicados,Capítulo de libro,LA LINGUISTICIDAD DE LA PLANIFICACIÓN DEL DESARROLLO SOSTENIBLE DESDE LOS SISTEMAS COMPLEJOS ADAPTATIVOS,Venezuela,2018,Tendencias en la Investigación Universitaria en Latinoamérica. ,978-980-7857-12-3-, ,164 - 184,Fondo Editorial Universitario Servando Garces,"MARIA VICTORIA AGUDELO VARGAS, YAMARU DEL VALLE CHIRINOS ARAQUE, JORGE ARMANDO MUNOZ RUIZ, NATALIYA BARBERA ALVARADO"
CONTAS,Capítulos de libro publicados,Capítulo de libro,LA NEUROPLANIFICACIÓN: HERRAMIENTA FUNDAMENTAL EN EL PROCESO ESTRATÉGICO DE LAS UNIVERSIDADES PRIVADAS DEL ESTADO ZULIA DIGT,Venezuela,2018,Tendencias en la Investigación Universitaria en Latinoamérica. ,978980-7857-13-0-, ,28 - 48,Fondo Editorial Universitario Servando Garces,"MARIA VICTORIA AGUDELO VARGAS, YAMARU DEL VALLE CHIRINOS ARAQUE, JORGE ARMANDO MUNOZ RUIZ, JOSE ALEXANDER VELASQUEZ OCHOA"
CONTAS,Capítulos de libro publicados,Capítulo de libro,Pobreza infantil en México,México,2018,Compendio Investigativo de Academia Journals Celaya 2018,978-1-939982-42-1, ,3233 - 3236,Academia Journals,MARIA ELENA VALENCIA CORRALES
CONTAS,Capítulos de libro publicados,Capítulo de libro,Hacia un pénsum o programas académicos básicos para la formación de emprendedores sociales: Áreas de conocimiento y temas fundamentales,México,2018,un reto para la universidad latinoamericana,978-607-30-1205-8, ,53 - 126,Ediciones Unam,MARIA ELENA VALENCIA CORRALES
CONTAS,Capítulos de libro publicados,Capítulo de libro,Hacia un pensum o programas académicos básicos para la formación de emprendedores sociales: areas de conocimiento y temas fundamentales,México,2018,un reto para la universidad latinoamericana.,978-607-30-1205-8, ,53 - 123,Unam Universidad Nacional Autonoma De Mexico,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,Emprendimiento social en tiempos decrisis:Una apuesta con todos y para todos,México,2018,un reto para la universidad latinoamericana.,978-607-30-1205-8, ,121 - 140,Unam Universidad Nacional Autonoma De Mexico,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,Emprendimiento social en la universidad: Desafío en contextos de desigualdad,México,2018,un reto para la universidad latinoamericana.,978-607-30-1205-8, ,151 - 158,Unam Universidad Nacional Autonoma De Mexico,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Capítulos de libro publicados,Capítulo de libro,Una Visión Ética de los Empresarios: Una Reflexión desde Macintyre,Ecuador,2016,Financiera y Comercial de las PYME,978-9978-77-286-7, ,21 - 33,Centro de Publicaciones Pontificia Universidad Católica del Ecuador,"MARIA VICTORIA AGUDELO VARGAS, NORKA JUDITH VILORIA ORTEGA"
CONTAS,Capítulos de libro publicados,Otro capítulo de libro publicado,Flujos y contraflujos de la estandarización contable,Colombia,2014,Testimonio Latinoamericano. Senda Y Rastro De La Contabilidad En Una Región Del Tiempo,9789584639363, ,239 - 250,Editorial Del Politecnico Jaime Isaza Cadavid,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Capítulos de libro publicados,Otro capítulo de libro publicado,El sentido de la lucha nacionalista: historia del gremio estudiantil contable en Colombia,Colombia,2014,Testimonio Latinoamericano. Senda Y Rastro De La Contabilidad En Una Región Del Tiempo,9789584639363, ,207 - 216,Editorial Del Politecnico Jaime Isaza Cadavid,LILIAM BETANCUR JARAMILLO
CONTAS,Capítulos de libro publicados,Capítulo de libro,"La Historiografía Contable como Historia General. Fundamentos Teóricos, Requisitos y Situación Actual de la Investigación Histórica en Contabilidad",Colombia,2014,Para Recrear El Pensamiento De La Contabilidad,9789584646200, ,146 - 173,Centro De Publicaciones De La Universidad Del Quindio,CARLOS ALBERTO MUNOZ RESTREPO
