revista,ISSN,categoria,SJR_Q,cantidad,porcentaje
ESPACIOS,0798-1015,Sin categoria,Sin categoria,59,11
PERSEITAS,2346-1780,C,Q4,20,3.6999999999999997
REVISTA VIRTUAL UNIVERSIDAD CATÓLICA DEL NORTE,0124-5821,Sin categoria,Sin categoria,10,1.9
REVISTA COLOMBIANA DE CIENCIAS SOCIALES,2216-1201,B,Sin categoria,9,1.7000000000000002
INFANCIAS IMÁGENES,1657-9089,Sin categoria,Sin categoria,8,1.5
LÁMPSAKOS,2145-4086,Sin categoria,Sin categoria,8,1.5
KATHARSIS,0124-7816,Sin categoria,Sin categoria,7,1.3
REVISTA VENEZOLANA DE GERENCIA,1315-9984,B,Q3,7,1.3
PSICOESPACIOS,2145-2776,Sin categoria,Sin categoria,7,1.3
CULTURA EDUCACIÓN Y SOCIEDAD,2145-9258,C,Sin categoria,7,1.3
DRUGS AND ADDICTIVE BEHAVIOR,2463-1779,Sin categoria,Sin categoria,7,1.3
SCIENTIA ET TECHNICA,0122-1701,B,Sin categoria,6,1.0999999999999999
REVISTA LASALLISTA DE INVESTIGACIÓN,1794-4449,C,Q4,6,1.0999999999999999
MIDDLE EAST JOURNAL OF SCIENTIFIC RESEARCH,1990-9233,Sin categoria,Sin categoria,6,1.0999999999999999
ELEUTHERA,2011-4532,Sin categoria,Sin categoria,6,1.0999999999999999
ACTUALIDADES PEDAGÓGICAS,0120-1700,C,Sin categoria,5,0.8999999999999999
ECONOMICAS CUC,0120-3932,Sin categoria,Sin categoria,5,0.8999999999999999
MODERN APPLIED SCIENCE,1913-1844,Sin categoria,Sin categoria,5,0.8999999999999999
"REVISTA LATINOAMERICANA DE CIENCIAS
SOCIALES, NIÑEZ Y JUVENTUD",2027-7679,B,Q3,5,0.8999999999999999
QUALITATIVE REPORT,1052-0147,A1,Q1,4,0.7000000000000001
PROFILE,1657-0790,A2,Q1,4,0.7000000000000001
EL ÁGORA USB,1657-8031,B,Sin categoria,4,0.7000000000000001
"REVISTA INGENIERÍAS UNIVERSIDAD DE
MEDELLÍN",1692-3324,B,Sin categoria,4,0.7000000000000001
DIVERSITAS : PERSPECTIVAS EN PSICOLOGÍA,1794-9998,B,Sin categoria,4,0.7000000000000001
REVISTA LATINOAMERICANA DE ESTUDIOS DE FAMILIA,2145-6445,Sin categoria,Sin categoria,4,0.7000000000000001
EN-CONTEXTO,2346-3279,C,Sin categoria,4,0.7000000000000001
SCIENCE OF HUMAN ACTION,2500-669X,Sin categoria,Sin categoria,4,0.7000000000000001
REVISTA DE FILOSOFÍA DE LA UNIVERSIDAD DE COSTA RICA,0034-8252,Sin categoria,Sin categoria,3,0.6
"REVISTA DE LA FACULTAD DE DERECHO Y
CIENCIAS POLITICAS",0120-3886,C,Sin categoria,3,0.6
CONTADURÍA UNIVERSIDAD DE ANTIOQUIA,0120-4203,C,Sin categoria,3,0.6
CUADERNOS DE ADMINISTRACIÓN,0120-4645,C,Sin categoria,3,0.6
"REVISTA ESCUELA DE ADMINISTRACI¿N DE
NEGOCIOS",0120-8160,B,Sin categoria,3,0.6
EDUCACIÓN Y HUMANISMO,0124-2121,B,Sin categoria,3,0.6
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,0304-8853,A2,Q2,3,0.6
CIENCIA Y SOCIEDAD,0378-7680,Sin categoria,Sin categoria,3,0.6
IZQUIERDAS,0718-5049,A1,Q1,3,0.6
REVISTA LATINA DE COMUNICACION SOCIAL,1138-5820,A2,Q2,3,0.6
UTOPIA Y PRAXIS LATINOAMERICANA,1316-5216,Sin categoria,Sin categoria,3,0.6
THEORETICAL CHEMISTRY ACCOUNTS,1432-2234,B,Q3,3,0.6
CHEMISTRY A EUROPEAN JOURNAL,1521-3765,A1,Q1,3,0.6
PSYCHOLOGIA: AVANCES DE LA DISCIPLINA,1900-2386,Sin categoria,Sin categoria,3,0.6
CLÍO AMÉRICA,1909-941X,C,Sin categoria,3,0.6
INGENIERÍAS USBMED,2027-5846,Sin categoria,Sin categoria,3,0.6
RSC ADVANCES,2046-2069,A1,Q1,3,0.6
ENCUENTROS,2610-8046,Sin categoria,Sin categoria,3,0.6
CHEMICAL PHYSICS LETTERS,0009-2614,A2,Q2,2,0.4
REVISTA LATINOAMERICANA DE PSICOLOGÍA,0120-0534,A2,Q2,2,0.4
