grupo,categoria,Tipo_Curso,Nombre_curso,Pais,Ano,Idioma,Medio_divulgacion,sitio_web,Participacion,Duracion_semanas,Finalidad,lugar,Institucion_Financiadora,Autores
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Gestión del riesgo en las organizaciones,Colombia,2021,Español,Internet, ,Docente,2,Realizar proyectos de colaboración virtual internacional e interinstitucional,Medellín,UNIVERSIDAD CATOLICA LUIS AMIGO, OLGA PATRICIA VASQUEZ MONTOYA
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Educación Financiera Finanzas Personales,Colombia,2020,Español,Internet, ,Docente,1,Realizar proyectos de colaboración virtual internacional e interinstitucional,Medellín,UNIVERSIDAD CATOLICA LUIS AMIGO, OLGA PATRICIA VASQUEZ MONTOYA
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,curso formulación de proyectos,Colombia,2020,Español,Otro, ,Docente,0,curso dictado en el nivel de especialización,Corporación Universitaria Remington,CORPORACIÓN UNIVERSITARIA REMINGTON, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Otro ,Curso Preparación y formulación de Proyectos - Maestría,México,2020,Español,Otro, ,Docente,4,,,Universidad Autónoma De Chiapas, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Especialización ,Curso evaluación financiera de Proyectos,Colombia,2019,Español,Otro, ,Docente,4,orientación del curso en la Especialización gerencia de proyectos,IES CEIPA,Fundación Universitaria CEIPA, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Especialización ,Curso Modelación y evaluación Financiera,Colombia,2019,Español,Otro, ,Docente,4,orientar curso en la Especialicación de Gerencia Financiera,IES CEIPA,Fundación Universitaria CEIPA, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Otro ,Curso finanzas - Maestria en Administración,Colombia,2018,Español,Papel, ,Docente,2,orientar el curso Finanzas en la maest´ria en administración,Universidad Catolica Luis Amigó - Sede medellín,UNIVERSIDAD CATOLICA LUIS AMIGO, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Otro ,Curso finanzas - Maestria en Administración,Colombia,2017,Español,Otro, ,Docente,2,orientar el curso Finanzas en la maestría en administración,Universidad Catolica Luis Amigó - Sede Medellín,UNIVERSIDAD CATOLICA LUIS AMIGO, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Cátedra Abierta Crowdfunding financiamiento de multitudes,Colombia,2017,Español,Papel, ,Organizador,0,Enetende rlos diferentes conceptos y procesos que hacen parte del Crowdfunding,Auditorio torrente Universidad católica Luis amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Otro ,Diseño preguntas Saber Pro,Colombia,2017,Español,Otro, ,Docente,5,"Capacitar a los docentes del programa de Contaduría Pública de la Universidad La Gran Colombia en diseño de preguntas del tipo de la prueba estatal ""Saber Pro""",Facultad de contaduría Pública,Universidad La Gran Colombia - Sede Bogotá, LILIAM BETANCUR JARAMILLO
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Investigación Contable,Colombia,2017,Español,Otro, ,Docente,1,Ofrecer elementos para la comprensión de la metodología de la investigación contable,Programa de Contaduría Pública - Girardot,, LILIAM BETANCUR JARAMILLO
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Cátedra Abierta Mercados Privados,Colombia,2017,Español,Papel, ,Docente,0,Entender el funcionamiento de los mercados privados y las variables que afectan a estos,Auditorio 1-510 Universidad catolica Luis amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,"Catedra abierta Nacionalismo, Economia y Finanzas",Colombia,2017,Español,Otro, ,Docente,0,Entender las distintas problemáticas coyunturales que afectan el área de las finanzas,Auditorio 1-510 Universidad catolica Luis amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Investigación Cualitativa,Perú,2014,Español,Otro, ,Docente,1,Aportar a la formación de los estudiantes de Trabajo de Grado,Universidad Nacional del Callao,UNIVERSIDAD CATOLICA LUIS AMIGO, LILIAM BETANCUR JARAMILLO
CONTAS,Curso de Corta Duración Dictados, Extensión extracurricular ,Seminario de Normas Internacionales de Información Financiera,Colombia,2013,Español,Internet, ,Docente,1,Seminario de actualización a egresados,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, ELKIN HORACIO QUIROS LIZARAZO
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,Antropología y cosmovisiones,Colombia,2019,Español,Varios, ,Docente,2,,,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Cine y filosofía,Colombia,2019,Español,Otro, ,Docente,16,,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Metafísica y ontología,Colombia,2019,Español,Varios, ,Docente,16,,Universidad Católica Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Teoría del conocimiento,Colombia,2019,Español,Otro, ,Docente,6,,,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Introducción al pensamiento filosófico,Colombia,2019,Español,Otro, ,Docente,16,,,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Introducción a la filosofía,Colombia,2019,Español,Otro, ,Docente,16,,,UNIVERSIDAD CATOLICA LUIS AMIGO, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Latín I,Colombia,2019,Español,Otro, ,Docente,16,,,, PALOMA MARIN ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,antropología y cosmovisiones,Colombia,2019,Español,Papel, ,Docente,16,,,UNIVERSIDAD CATOLICA LUIS AMIGO, ANDRES ESCOBAR VASQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,humanismo y cultura ciudadana,Colombia,2019,Español,Papel, ,Docente,16,,,UNIVERSIDAD PONTIFICIA BOLIVARIANA, ANDRES ESCOBAR VASQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,ética y axiología,Colombia,2019,Español,Papel, ,Docente,16,,,UNIVERSIDAD CATOLICA LUIS AMIGO, ANDRES ESCOBAR VASQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,arte universal,Colombia,2019,Español,Papel, ,Docente,16,,,UNIVERSIDAD CATOLICA LUIS AMIGO, ANDRES ESCOBAR VASQUEZ
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,Mariología,Colombia,2018,Español,Otro, N/A,Docente,1,Contribuir al proceso de formación de los Religiosos Terciarios Capuchinos,Centro de atención al joven  Carlos LLeras Restrepo,Congregación de Religiosos Terciarios Capuchinos, JONNY ALEXANDER GARCIA ECHEVERRI
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,Pasantía de investigación doctoral,Colombia,2018,Español,Otro, ,Otro,0,Realizar una estancia doctoral para avanzar en la producción de la tesis doctoral,Universidad Nacional Autónoma de México,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLÍN, LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Extensión extracurricular ,Cristología del Buen Pastor,Colombia,2017,Español,Otro,//www.terciariascapuchinas.org/capuchi/index.php?lang=es,Docente,1,Formación de Comunidad Religiosa Terciarias Capuchinas,Robledo,UNIVERSIDAD CATOLICA LUIS AMIGO, JONNY ALEXANDER GARCIA ECHEVERRI
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Taller de escritura creativa,Colombia,2016,Español,Otro, ,Docente,11,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Taller de escritura creativa,Colombia,2016,Español,Otro, ,Docente,11,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Taller de escritura creativa,Colombia,2015,Español,Otro, ,Docente,11,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,El hombre y sus acciones,Colombia,2014,Español,Otro, ,Docente,6,,Fundación Universitaria Católica del norte,FUNDACIÓN UNIVERSITARIA CATÓLICA DEL NORTE, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Antropología filosófica,Colombia,2014,Español,Otro, ,Docente,6,,Fundación Universitaria Católica del Norte,FUNDACIÓN UNIVERSITARIA CATÓLICA DEL NORTE, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Metodología de la investigación,Colombia,2012,Español,Otro, ,Docente,16,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Ensayo filosófico,Colombia,2012,Español,Otro, ,Docente,16,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Formación discursiva y argumentativa,Colombia,2012,Español,Otro, ,Docente,16,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Especialización ,"Diálogo, interpretación y comprensión",Colombia,2010,Español,Otro, ,Docente,4,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Especialización ,Hermenéutica literaria,Colombia,2010,Español,Otro, ,Docente,4,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Epistemología de las matemáticas,Colombia,2009,Español,Otro, ,Docente,2,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Lingüística,Colombia,2008,Español,Otro, ,Docente,2,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Competencia lingüística,Colombia,2008,Español,Otro, ,Docente,16,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Ética y procesos socio educativos,Colombia,2007,Español,Otro, ,Docente,1,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
FILOSOFIA Y TEOLOGIA CRITICA,Curso de Corta Duración Dictados, Otro ,Pedagogía y comunicación,Colombia,2007,Español,Otro, ,Docente,16,,Fundación Universitaria Luis Amigó,UNIVERSIDAD CATOLICA LUIS AMIGO, DAVID ESTEBAN ZULUAGA MESA
