grupo,categoria,tipo_producto,titulo,ano,numero_paginas,instituciones_participantes,URL,DOI,autores
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),"EL EFECTO RE-DISTRIBUIDOR DEL IMPUESTO DE RENTA. UN ANÁLISIS DESDE EL MODELO IMPOSITIVO DE CHILE, ECUADOR Y COLOMBIA",2017,18,Universidad Católica Luis Amigo Universidad Católica de Oriente, http://congreso.investiga.fca.unam.mx/es/congreso_xxii.php                 ,,JOHN FERNANDO DIOSSA CASTRO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),CONVERGENCIA CONTABLE EN COLOMBIA Y LAS TENSIONES CONCEPTUALES EN LOS REPORTES,2016,27,universidad de los andes FACES, https://sites.google.com/site/cursoscarlosmunoz/documentos-de-trabajo                 ,N/A,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),LA VIGENCIA DE LA TENEDURÍA DE LIBROS POR PARTIDA DOBLE EN ÉPOCA DE ADOPCIÓN DE ESTÁNDARES INTERNACIONALES DE CONTABILIDAD,2016,20,Facultad de Ciencias Económicas y administrativas ¿ITM, https://www.researchgate.net/project/vigencia-de-la-Teneduria-de-libros-por-partidad-doble-en-epoca-de-adopcion-de-estandares-de-contabilidad                 ,N/A,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),LA ARCHIVISTICA Y EL CONTABLE1,2016,6,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA TUNJA BOYACA  MAESTRIA EN HISTORIA, https://sites.google.com/site/cursoscarlosmunoz/documentos-de-trabajo                 ,N/A,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),"LA ARMONIZACIÓN, SU VINCULACIÓN DESDE LA CUANTIFICACIÓN Y LA HOMOGENIZACIÓN COMO FENÓMENOS HISTÓRICOS ASOCIADOS",2016,9,universidad de los andes-posgrado en ciencias contables, https://sites.google.com/site/cursoscarlosmunoz/documentos-de-trabajo                 ,N/A,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),La relacion de referencia y el signo contable,2015,36,Universidad de los Andes FACES. Venezuela, https://www.researchgate.net/publication/282025747_La_relacion_de_referencia_y_el_signo_contable                 ,10.13140/RG.2.1.1973.2960,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),"Economía, gestión y fútbol: de la pasión a la sostenibilidad financiera",2015,26,, https://mpra.ub.uni-muenchen.de/72778/                 ,,"RAMON JAVIER MESA CALLEJAS, JAIR ALBEIRO OSORIO AGUDELO, CARLOS EDUARDO CASTANO RIOS"
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),La planificación contable como herramienta para el fortalecimiento de los procesos de planificación económico-social,2009,169,, http://www.funlam.edu.co/html/catalogo.investigaciones/catalogo_de_investigaciones_2008.pdf                 ,,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),"Usos y requerimientos de la información contable: integración de la regulación contable para el sector privado en Colombia Línea de investigación: Contabilidad, Ambiente y Sociedad",2009,169,, http://www.funlam.edu.co/html/catalogo.investigaciones/catalogo_de_investigaciones_2008.pdf                 ,,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),Informe operativo final: diagnóstico de la aplicación de legislación sobre gestión ambiental para un grupo de empresas de Medellín,2005,23,,                  ,,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),Informe operativo final: Análisis de la responsabilidad social en pequeñas y medianas empresas de Medellín,2005,18,,                  ,,ELKIN HORACIO QUIROS LIZARAZO
CONTAS,Documentos de trabajo,Documento de trabajo (Working Paper),Fundamentos teóricos y metodológicos para una línea de investigación en contabilidad social y ambiental,2004,26,,                  ,,ELKIN HORACIO QUIROS LIZARAZO
FILOSOFIA Y TEOLOGIA CRITICA,Documentos de trabajo,Documento de trabajo (Working Paper),Sobre la escritura,2020,3,Universidad Católica Luis Amigó, https://figshare.com/articles/online_resource/Sobre_la_escritura/13249568                 ,10.6084/m9.figshare.13249568.v1,DAVID ESTEBAN ZULUAGA MESA
