grupo,categoria,Titulo,Fecha_inicio,Fecha_Fin,Descripcion
URBANITAS,Estrategias Pedagógicas para el fomento a la CTI,"Encuentro de diferentes entidades gubernamentales y sociales del sector educativo y de salud, donde el tema principal es la prevención del embarazo adolescente, en el marco de la Semana Andina de la prevención del embarazo adolescente y juvenil. Allí se e",Septiembre 2019,Septiembre 2019,"Encuentro de medios comunitarios y comerciales de comunicación, sobre el manejo comunicativo e informativo del embrazo adolescente en los medios de comunicación."
URBANITAS,Estrategias Pedagógicas para el fomento a la CTI,Encuentro Experiencias de Adolescentes y Jóvenes en la prevención del Embarazo Adolescente,Septiembre 2019,Septiembre 2019,"Encuentro de diferentes entidades gubernamentales y sociales del sector educativo y de salud, donde el tema principal es la prevención del embarazo adolescente, en el marco de la Semana Andina de la prevención del embarazo adolescente y juvenil. Allí se expusieron diferentes experiencias y proyectos de intervención social en diferentes comunidades de la ciudad."
URBANITAS,Estrategias Pedagógicas para el fomento a la CTI,"eBookcamp Colombia. Preproducción, producción y postproducción de libros digitales",Octubre 2016,Octubre 2016,"El objetivo principal de la estrategia pedagógica fue: ¿Dar a conocer de una manera dinámica y novedosa los avances tecnológicos que encierran la nueva era digital, que a su vez permiten la vivencia de la literatura de una manera moderna¿. El evento estuvo dirigido a personas interesadas en todos los avances tecnológicos que influyan directamente en la producción de libros digitales, así como comunicadores sociales, publicistas, diseñadores, ilustradores, ingenieros programadores, bibliotecólogos, editores, fotógrafos, realizadores audiovisuales, escritores, académicos, entre otros.,,Como estrategia pedagógica eBookcamp se desarrolló así: creación de Website para información general y suscripción en línea, redes sociales para publicidad y fidelización de asistentes, una convocatoria abierta y gratuita para asistentes, previa inscripción, convocatoria para ponentes expertos en los temas desde las universidades y las empresas que diseñan libros, y el desarrollo de una metodología de conferencia tipo TED, charlas de 20 a 30 minutos acompañado de ayudas visuales y  un libro de memorias para la publicación de las ponencias.,,eBookcamp es resultado de la investigación: ¿Literacidad electrónica: experiencias de lectura e inclusión de dispositivos electrónicos en bibliotecas¿ y en él participaron 11 ponentes expertos en libros digitales, así: cuatro docentes de la Universidad Católica Luis Amigó, la Coordinadora del Fondo Editorial Luis Amigó, el Decano de la Facultad de Facultad de Comunicación social, Publicidad y Diseño, expertos de empresas de Medellín, integrantes del Sistema de Bibliotecas Públicas de Medellín, un docente de la Universidad Javeriana de Cali, entre otros"
URBANITAS,Estrategias Pedagógicas para el fomento a la CTI,Cátedra Abierta de la Mesa de Bibliotecas de Instituciones de Educación Superior de Antioquia:  literacidad electrónica y experiencias de lectura,Noviembre 2015,Noviembre 2015,"Participación como ponente del tema Literacidad electrónica y experiencias de lectura en la Cátedra Abierta de la Mesa de Bibliotecas de Instituciones de Educación Superior de Antioquia.,En esta charla se compartió información derivada del proyecto de investigación Literacidad electrónica: experiencias de lectura e inclusión de dispositivos electrónicos en bilbiotecas"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Estrategias Pedagógicas para el fomento a la CTI,Tecnicas de comunicación asertiva y buen trato al personal de inspeccionados,Septiembre 2020,Septiembre 2020,"Mejorar las relaciones interpersonales en pro de una comunicación efectiva que permita el cumplimiento de la misión de la inspección, con el fundamento en los principios del respeto y buen trato en las inspecciones especiales o revistas formales."
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Estrategias Pedagógicas para el fomento a la CTI,Semillero Adicciones y Salud Mental,Enero 2019,Diciembre 2019,"Desarrollo de actividades de investigación formativa, en el marco del proyecto procesamiento cognitivo en el trastorno dismórfico corporal"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Estrategias Pedagógicas para el fomento a la CTI,Programa de Doctorado en Estudios interdiscilplinarios en Psicología,Junio 2017,Diciembre 2017,"Existe una necesidad de formación de doctores en el área de la psicología en Colombia y especialmente en la región, afirmación que se verá argumentada a lo largo del escrito, pero a modo de síntesis, se podría decir: en primer lugar, hay un alto número de profesionales y escasos magísteres graduados (Colegio Colombiano de Psicólogos [Colpsic], 2012), nivel de formación que al igual que el doctorado tiene a la investigación como fundamento. Se entiende que los doctores, por su capacidad para resolver problemas a través de la investigación, contribuyen al bienestar de un país, al poner la ciencia al servicio del desarrollo social y económico del mismo.,En segundo lugar, y acorde con el desarrollo económico del país, un doctor tiene mayores oportunidades de empleo y posibilita el incremento de la innovación, la modernización de las instituciones y de su productividad económica, como lo muestra el caso de Portugal, que ha evidenciado un progreso significativo después de que se fomentara la inversión pública en ciencia y tecnología e igualmente ha logrado disminuir la fuga de cerebros (Heitor, Horta y Mendonça, 2014, p. 7). En ese mismo sentido apuntan las investigaciones sobre la economía de China, que han hallado que la educación posgradual tiene un impacto duradero más positivo que la educación primaria y secundaria (Zhang & Zhuang, 2011)."
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Estrategias Pedagógicas para el fomento a la CTI,"Semillero de Investigación ""Psicología Relacional""",Febrero 2017,Noviembre 2020,"Coordinador del semillero de Investigación para :,Acompañar y guiar a los estudiantes en el proceso de formación (proyectos y,actividades investigativas) y ser el delegado del semillero ante los órganos o,asuntos que lo requieran.,2) Facilitar la conformación del semillero y su sostenibilidad a partir de los,productos de investigación.,3) Velar por el cumplimiento de las acciones propias del semillero y definir un,plan de desarrollo del semillero, a mediano y largo plazo.,4) Asegurar la idoneidad de los participantes en el semillero.,5) Fortalecer las competencias investigativas en los estudiantes y/o graduados,interesados, a partir del análisis de estrategias metodológicas y académicas,propias del saber específico."
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Estrategias Pedagógicas para el fomento a la CTI,Red de Programas Universitarios en Familia,Enero 2012,,A la RED DE PROGRAMAS UNIVERSITARIOS EN FAMILIA - NODO ANTIOQUIA pertenecen Instituciones de Educación Superior que poseen programas académicos en Familia.  En la actualidad esta Red se encuentra bajo la Coordinación de la PhD. Diana María González Bedoya investigadora-psicóloga-terapeuta de familia y magíster en Educación y Desarrollo Humano.  Contacto: diana.gonzalez72@tdea.edu.co y dimagobe@yahoo.es
AYELEN,Estrategias Pedagógicas para el fomento a la CTI,"Semillero de investigación en temáticas de infancia, adolescencia y familia",Febrero 2019,,"El Semillero de investigación en temáticas de infancia, adolescencia y familia es un grupo de trabajo interdisciplinario adscrito a la línea de investigación familia, niñez y sociedad de la facultad de psicología y ciencias sociales de la Universidad Católica Luis Amigó en el Centro Regional Bogotá; conformado por docentes, estudiantes y egresados que centran su quehacer en desarrollar el campo de la investigación formativa en temas propios y próximos a la infancia, la adolescencia y la familia, a través de una adecuada articulación académica y producción de la más alta calidad. La responsabilidad encomendada se encuentra al servicio de la sociedad en general, para que participe conjuntamente de las políticas, programas y proyectos que se ejecutan directamente o con alianzas estratégicas para dar respuesta ante las necesidades vigentes."
