grupo,categoria,tipo_evento,titulo,ciudad_evento,fecha_inicio,fecha_fin,ambito,tipo_participacion,nombre_InstituciÃ³n,tipo_vinculaciÃ³n
CONTAS,Eventos Científicos,Encuentro,Rompiendo paradigmas... experiencias de mujeres científicas,MEDELLÍN, 2022-03-09 , 2022-03-09 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,Congreso Colombiano de Contadores Públicos,MEDELLÍN, 2022-03-05 , 2022-03-05 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,Panel reforma a la profesión contable en Colombia,MEDELLÍN, 2022-03-04 , 2022-03-04 , Nacional, Ponente Magistral Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Gestionadora
CONTAS,Eventos Científicos,Encuentro,El sistema tributario en el Estado Social de derecho,FACATATIVÁ, 2021-12-02 , 2021-12-02 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD DE CUNDINAMARCA,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,XVIII Encuentro de Investigación Formativa en Finanzas,MEDELLÍN, 2021-11-17 , 2021-11-19 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,QUALITATIVE RESEARCH AND CRITICAL ACCOUNTING: QRCA 2021 A LATIN AMERICAN CONFERENCE,São Paulo, 2021-11-16 , 2021-11-19 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Seminario,Seminario internacional. contabilidad y género,Valparaíso, 2021-10-15 , 2021-10-15 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,Reforma tributaria en contexto,MEDELLÍN, 2021-09-30 , 2021-09-30 , Nacional, Organizador Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,7° Congreso Internacional sobre Crimen Económico y Fraude Financiero y Contable - Prevención y Gestión de los Delitos Corporativos,MEDELLÍN, 2021-09-28 , 2021-09-30 , Internacional, Organizador Instituciones asociadas, CORPORACIÓN UNIVERSITARIA REMINGTON,Tipo de vinculación Gestionadora
CONTAS,Eventos Científicos,Congreso,XXIV Encuentro Nacional de Investigación,MEDELLÍN, 2021-09-13 , 2021-09-13 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,XIII Reunión de Investigación en Contabilidad Social y Medioambiental ¿ 13th CSEAR Spain,Burgos, 2021-09-08 , 2021-09-10 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,XXIV Encuentro Nacional de Investigación: 2021,MEDELLÍN, 2021-09-08 , 2021-09-10 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,XVIV Encuentro Nacional de Investigaciones,MEDELLÍN, 2021-09-08 , 2021-09-09 , Nacional," Asistente , Ponente Instituciones asociadas", UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,IV Simposio Internacional de Teoría Contable,Buenos Aires, 2021-08-25 , 2021-08-27 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Seminario,"SEMINARIO INTERNACIONAL: CONTABILIDAD MEDIOAMBIENTAL, INFORMES DE SOSTENIBILIDAD Y RESPONSABILIDAD SOCIAL EMPRESARIAL",Valparaíso, 2021-08-18 , 2021-08-18 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,"I CONGRESO INTERNACIONAL DE CIENCIAS SOCIALES ECONÓMICAS, FINANCIERAS, ADMINISTRATIVAS Y CONTABLES,",MEDELLÍN, 2021-05-21 , 2021-05-22 , Internacional, Organizador Instituciones asociadas, UNIVERSIDAD DE CALDAS,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,Impuestos productividad y realidad social,MEDELLÍN, 2021-05-12 , 2021-05-12 , Nacional, Ponente Instituciones asociadas, CORPORACIÓN UNIVERSITARIA REMINGTON,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,"RETOS, TENDENCIAS, OBSTÁCULOS Y AVANCES DE LA CONTABILIDAD Y GÉNERO CONTABLE",MEDELLÍN, 2021-03-17 , 2021-03-17 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,PANEL CONTABILIDAD SOCIAL Y AMBIENTAL,MEDELLÍN, 2021-03-01 , 2021-03-01 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Congreso,Decimo congreso internacional de investigación e innovación,No Aplica, 2020-11-25 , 2020-11-27 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,V Jornada de Divulgación de Investigación de la Facultad de Contaduría Pública y el II Encuentro Interinstitucional,BOGOTÁ, 2020-11-06 , 2020-11-06 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD SANTO TOMAS,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,1ER CONGRESO INTERNACIONAL DE CONTADURIA PUBLICA Y CIENCIAS ADMINISTRATIVAS,MEDELLÍN, 2020-11-05 , 2020-11-06 , Internacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Otro,Conversatorio internacional de estructura de la profesión contable: caso venezuela,MEDELLÍN, 2020-11-03 , 2020-11-03 , Internacional, Asistente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,XXIII Encuentro Nacional de Investigación-2020,MEDELLÍN, 2020-10-14 , 2020-10-16 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
CONTAS,Eventos Científicos,Encuentro,XXIII Encuentro Nacional de Investigación-2020,MEDELLÍN, 2020-10-14 , 2020-10-16 , Nacional, Ponente Instituciones asociadas, UNIVERSIDAD CATOLICA LUIS AMIGO,Tipo de vinculación Patrocinadora
