grupo,categoria,tipo_producto,titulo,ano,mes,ciudad,formato_archivo_digital,descripcion_audio
FILOSOFIA Y TEOLOGIA CRITICA,Generaciónes de contenido de audio,Generación de contenido audio,"El autismo: una visión desde la psiquiatría, el psicoanálisis y la psicología.",2018,11,MEDELLÍN,MP3,Programa radial Mentes Sanas. Radio Universidad Pontificia Bolivariana Sede Medellín
URBANITAS,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio - Medellín,2019,11,MEDELLÍN,MP3,Serie radial sobre el comportamiento suicida
URBANITAS,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del Suicidio - Medellín,2019,11,MEDELLÍN,MP3,Serie radial sobre el comportamiento suicida
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio-Medellín,2019,11,MEDELLÍN,MP3,Serie radial sobre el comportamiento suicida
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generaciónes de contenido de audio,Generación de contenido audio,hablemos del suicidio-medellin,2019,11,MEDELLÍN,MP3,serie radial sobre el comportamiento suicida.
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generaciónes de contenido de audio,Generación de contenido audio,PROGRAMA RADIAL PREVENCION DE LA CONDUCTA SUICIDA EMISORA LA VOZ DE LA UNION EN FASE II,2019,7,LA UNIÓN,MP3,DIFUNDIR A TRAVES DE LOS MEDIOS DE COMUNICACION ESTRATEGIAS ORIENTADAS A LA PREVENCION DE LA CONDUCTA SUICIDA EN EL MUNICIPIO DE LA UNION
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio - Medellín,2019,11,MEDELLÍN,MP3,Serie radial sobre el comportamiento suicida
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generaciónes de contenido de audio,Generación de contenido audio,"Programa Radial ""Hablemos del suicidio"".",2019,10,MEDELLÍN,MP3,"Serie de 12 programas transmitidos semanalmente en la emisora Verdad y Vida Radio 870 AM, cobertura regional en el departamento de Antioquia, Colombia."
NEUROCIENCIAS BASICAS Y APLICADAS,Generaciónes de contenido de audio,Generación de contenido audio,Hablemos del suicidio-Medellín,2019,11,MEDELLÍN,MP3,Serie radial sobre el comportamiento suicida
GESNE,Generaciónes de contenido de audio,Generación de contenido audio,Simulación Modelo ONU,2019,11,RIONEGRO,MP3,Estrategia pedagógica - Simulación Modelo ONU
JURIDICAS Y SOCIALES,Generaciónes de contenido de audio,Generación de contenido audio,Con el ojo en el Congreso,2020,2,MANIZALES,MP3,"Audio de 66 MB de entrevista en Radio Cóndor, programa ""Con el ojo en el Congreso"" del 6 de febrero de 2020."
