grupo,categoria,tipo_producto,titulo,fecha,ambito,medio_circulacion,lugar_publicacion,sitio_web,autores
CONTAS,Generación de Contenido Impreso,Metodología,Carta descriptiva curso teoria Financiera EF16 - Especialización en finanzas,2019-02-27,Nacional,,Universidad Católica Luis Amigó,,MAURICIO ALEJANDRO BEDOYA JIMENEZ
CONTAS,Generación de Contenido Impreso,Metodología,Carta descriptiva curso Innovación - MAADME06 Financiera,2017-07-19,Departamental,,Universidad Católica Luis Amigó,,MAURICIO ALEJANDRO BEDOYA JIMENEZ
URBANITAS,Generación de Contenido Impreso,Manual,Texto guía para el curso Publicidad Social.,,,,,,RAFAEL MAURICIO PARIS RESTREPO
URBANITAS,Generación de Contenido Impreso,Manual,Carta descriptiva para el curso: Publicidad Social.,,,,,,RAFAEL MAURICIO PARIS RESTREPO
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Cartilla,LA ESCUELA UN ESPACIO DE HUMANIZACIÓN,,,,,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,La pedagogía Amigoniana en el uso indebido de sustancias psicoactivas,,,,,,MARIA ADELAIDA STORTI CALDERON
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,La ludopatía en el ámbito Universitario,,,,,,MARIA ADELAIDA STORTI CALDERON
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Construcción Curricular de la Propuesta Formación de Formadores en Prevención Integral,,,,,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Metodologías pedagógicas interactivas,,,,,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Construcción de Módulos de Prevención integral para la Federación de Universidades Católicas FIUC,,,,,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Componente formativo pedagógico en los programas de prevención integral.,,,,,,MARIA CAROLINA MONTOYA MONTOYA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Sistema de Atención al habitante de Calle Adulto,2013-10-15,Nacional,,Medellín,,"MARIA ADELAIDA STORTI CALDERON, SANDRA MILENA RESTREPO ESCOBAR"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Impreso,Manual,Sistema de Atención al habitante de Calle Adulto.,2013-10-15,Nacional,,Medellín,,"SANDRA MILENA RESTREPO ESCOBAR, MARIA ADELAIDA STORTI CALDERON"
AYELEN,Generación de Contenido Impreso,Boletín,Aportes al estudio de la violencia filio-parental en Colombia.,2021-03-05,Nacional,Editorial,Blog Fondo Editorial Universidad Católica Luis Amigó,https://editorialluisamigo.home.blog/2021/03/05/aportes-al-estudio-de-la-violencia-filio-parental-en-colombia/ ,VIVIANA CARMENZA AVILA NAVARRETE
CALIDAD DE VIDA,Generación de Contenido Impreso,Cartilla,capitulo: fundamentos de la democracia escolar,2017-01-25,Nacional,Revista,medellin,,MARCOS AURELIO CORRALES SIBAJA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Manual,Evaluación y Monitoreo de Proyectos Psicosociales,2014-12-19,Nacional,Periodico,Fundación Universitaria Claretiana.,,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Manual,"Diseño, Formulación y Gestión de Proyectos Psicosociales .",2014-07-25,Nacional,Periodico,Fundación Universitaria Claretiana.,,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Manual,Las Fabiolas: Propuesta de Modelo de Reparación Integral para mujeres y niñas víctimas de las violencias sexuales en el contexto del conflicto armado colombiano.,2013-12-06,Nacional,Periodico,Gobernación de Antioquia.,,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Cartilla,Documento Maestro del Programa de Psicología Presencial para Registro calificado ante el Ministerio de Educación Nacional.,2013-09-28,Nacional,Periodico,"Quibdó Chocó,",,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Cartilla,Documento Maestro Programa Especialización en Gestión de Procesos Psicosociales para registro Calificado ante Ministerio de Educación Nacional.,2013-08-02,Nacional,Periodico,"Quibdó Chocó. ,",,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Impreso,Manual,Metodologías participativas de intervención psicosocial.,2008-11-29,Nacional,Periodico,Universidad Católica Luis Amigó.,,JOHN JAIRO GARCIA PENA
