grupo,categoria,Medio,Titulo,Fecha,Entidades_vinculadas,Sitio_web,Autores
CONTAS,Generación de Contenido Virtual,Blog,I FORO HISTORIA Y PERSPECTIVAS DE LA CONTABILIDAD DEL COMPORTAMIENTO: RETOS DE LA CONVERGENCIA ENTRE PSICOLOGÍA Y CONTABILIDAD.,2018-02-27, Universidad Catòlica Luis Amigò - Politecnico Jaime Isaza Cadavid,https://sites.google.com/site/cursosusb/foro-contabilidad-del-comportamiento,"CARLOS ALBERTO MUNOZ RESTREPO, EDILGARDO DE JESUS LOAIZA BETANCUR"
CONTAS,Generación de Contenido Virtual,Blog,TEORÍAS USUARIOS EN INFORMES DE LA RESPONSABILIDAD SOCIAL EMPRESARIAL,2016-04-13, INSTITUTO TECNOLÓGICO METROPOLITANO,https://sites.google.com/site/cursosusb/foro-contabilidad-del-comportamiento,CARLOS ALBERTO MUNOZ RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,La infancia de Jesús en dos pinturas de Rembrandt,2019-12-01, ,https://teounder.com/2018/12/11/infancia-rembrandt/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Marcella Althaus-Reid: el olor sexual de la teología,2019-11-25, ,https://teounder.com/2019/11/29/marcella-althaus-reid-el-olor-sexual-de-la-teologia/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Dorothee Sölle: Teología de la muerte de Dios,2019-08-03, ,https://teounder.com/2019/08/03/dorothee-solle-teologia-de-la-muerte-de-dios/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Religión y política en América Latina: una reflexión desde Alemania,2019-07-16, Missionsakademie an der Universität Hamburg,https://teounder.com/2019/07/16/religion-y-politica-en-america-latina-una-reflexion-desde-alemania/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Dietrich Bonhoeffer: una fe mundana,2019-06-05, ,https://teounder.com/2019/06/05/dietrich-bonhoeffer-una-fe-mundana/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Paul Tillich: Teología existencial y diálogo con la cultura,2019-04-28, ,https://teounder.com/2019/04/28/paul-tillich-teologia-existencial-y-dialogo-con-la-cultura/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Rudolf Bultmann: una reinterpretación de los símbolos cristianos,2019-03-12, ,https://teounder.com/2019/03/12/rudolf-bultmann-una-reinterpretacion-de-los-simbolos-cristianos/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Página web,Karl Barth: la contradicción y la Gracia,2019-02-01, ,https://teounder.com/2019/02/01/karl-barth-la-contradiccion-y-la-gracia/,JUAN ESTEBAN LONDONO BETANCUR
FILOSOFIA Y TEOLOGIA CRITICA,Generación de Contenido Virtual,Blog,Audiolibros libres,2018-10-12," Desarrollo de plataformas, herramientas y sistemas para el consumo de contenido cultural¿",https://www.ivoox.com/podcast-audiolibroslibres_sq_f1624971_1.html,PALOMA MARIN ESCOBAR
URBANITAS,Generación de Contenido Virtual,Página web,CURSO COMPORTAMIENTO DEL CONSUMIDOR,2020-04-01, UNIVERSIDAD DIGITAL DE ANTIOQUIA,https://www.iudigital.edu.co/,LINA MARIA MARTINEZ GUTIERREZ
URBANITAS,Generación de Contenido Virtual,Portal,Fanpage ebookcamp,2016-09-07, Funlam,https://www.facebook.com/eBookcampOficial/?ref=ts&fref=ts,CARLOS SUAREZ QUICENO
URBANITAS,Generación de Contenido Virtual,Página web,Significado de Futuro en la Prospectiva,2014-11-02, Uniacc,http://www.rutafuturo.cl/?cat=10,ANCIZAR VARGAS LEON
URBANITAS,Generación de Contenido Virtual,Blog,Proyecto eBooks interactivos,2012-03-01, Fundación Universitaria Luis Amigó,http://proyectoebooksinteractivos.tumblr.com/,EDWIN ANDRES SEPULVEDA CARDONA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Generación de Contenido Virtual,Página web,Praxis de nuestros docentes y formadores de docentes. Teoría crítica presente,2019-09-13, Universidad Pontificia Bolivariana - Universidad Católica Luis Amigó.,https://www.youtube.com/watch?v=LyVuN-OwmT8,ALEXANDER RODRIGUEZ BUSTAMANTE
CALIDAD DE VIDA,Generación de Contenido Virtual,Blog,¡Qué chéveres somos los seres vivos!,2009-04-15, I E JUAN XXIII-SEM MONTERÍA,http://fmercado66.blogspot.com,FRANCISCO WILLIAM MERCADO MERCADO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Otro,Plan de curso y guía didáctica del curso Psicología Ciclo Vital,2019-04-28, Fundación Universitaria Claretiana.,https://www.uniclaretiana.edu.co/,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Otro,Plan de curso y guía didáctica del curso Psicología crítico social,2019-04-05, Fundación Universitaria Claretiana.,https://www.uniclaretiana.edu.co/,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Blog,Sonata de cine,2017-07-20, ,https://sonatadecine.wordpress.com/,SONIA NATALIA COGOLLO OSPINA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Diplomado en Salud Mental en Emergencias y Desastres,2016-10-03, Universidad de Antioquia.,http://aprendeenlinea.udea.edu.co/lms/extension/,JOHN JAIRO GARCIA PENA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Formación de profesionales para la reconciliación social en medio del conflicto,2016-06-01, Red Colombiana EAD,http://ruana.xegmenta.com/video/ver/126,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Micrositio,Desencuentros entre Ley y Agro en el Valle de San Nicolás,2016-04-15, Universidad Católica Luis Amigó,https://www.youtube.com/watch?v=yRFN1FZUovY&t=263s,"NICOLASA MARIA DURAN PALACIO, SONIA NATALIA COGOLLO OSPINA, NORMAN DARIO MORENO CARMONA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Construcción de paz en las 8 grades áreas propuestas por Naciones Unidas,2016-03-01, Fundación Universitaria Luis Amigó,https://www.youtube.com/watch?v=,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Impacto Psicosocial de la violencia,2016-03-01, Fundación Universitaria Luis Amigó,https://www.youtube.com/watch?v=h2GgwuwDLK4,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Papel de la aproximación histórica para el posicionamiento personal ante la realidad,2016-03-01, Fundación Universitaria Luis Amigó,https://www.youtube.com/watch?v=4jymthftg7M,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Utilidad del modelo ecológico y del modelo psicosocial para el análisis de la violencia,2016-03-01, Fundación Universitaria Luis Amigó,https://www.youtube.com/watch?v=4ptXka_P3yc,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Superando los efectos de la violencia,2016-03-01, Fundación Universitaria Luis Amigó,https://www.youtube.com/watch?v=2BjBRHtiqb8,MONICA ALZATE GARCIA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Página web,Curso virtual Generalidades del proceso de investigación,2016-02-11, ,http://virtual.funlam.edu.co/course/view.php?id=6307,DAMIEN LE GAL FRANCOIS
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Generación de Contenido Virtual,Micrositio,Curso virtual Fundamentos y corrientes de la Psicología dinámica,2016-01-20, Universidad Católica Luis Amigó,http://virtual.funlam.edu.co/,SONIA NATALIA COGOLLO OSPINA
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Generación de Contenido Virtual,Página web,¿Qué es una familia tóxica y qué puede hacer estando en ella?,2018-02-21," El Tiempo, Universidad Católica Luis Amigó",http://www.eltiempo.com/cultura/gente/que-es-una-familia-toxica-y-que-se-puede-hacer-estando-en-ella-185592,ALEXANDER RODRIGUEZ BUSTAMANTE
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Generación de Contenido Virtual,Página web,Viveros Edison divulgación de artículos,2016-12-20, Universidad Católica Luis Amigó,https://www.facebook.com/edisonf.viveros/,EDISON FRANCISCO VIVEROS CHAVARRIA
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Generación de Contenido Virtual,Página web,"La pluralidad: Rasgo de la subjetividad política y condición para construir el sentido del ""entre-nos""",2014-06-30, Universidad Pedagógica Nacional- Facultad de Educación,http://revistas.pedagogica.edu.co/index.php/PYS/article/view/2774,ANGELA MARIA URREGO TOVAR
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Generación de Contenido Virtual,Página web,Epistemología de la pedagogía,2014-06-11, Fundación Universitaria Luis Amigó,www.youtube.com/watch?v=WxGd67Y9LvA,JOSE FEDERICO AGUDELO TORRES
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Generación de Contenido Virtual,Página web,"Estudio Educación, violencia urbana, afectaciones al derecho a la educación. Un análisis comparado entre Colombia, Chile y México.",2013-08-06," Unesco, PIIE, CEP PARRAS, IPC",www.ipc.org.co,MARY LUZ MARIN POSADA
GESNE,Generación de Contenido Virtual,Página web,La Educación Inclusiva en la Universidad Católica Luis Amigó,2019-07-26, Universidad Católica Luis Amigó ,http://www.funlam.edu.co/modules/generalinternet/item.php?itemid=354,"SANDRA ISABEL MEJIA ZAPATA, MARTHA DEL SOCORRO ALZATE CARDENAS"
GESNE,Generación de Contenido Virtual,Página web,Cátedra abierta Beato Fray Melquiades 2018,2018-10-19, Fundación Tecnológica Rural Coredi ,https://www.youtube.com/watch?v=sI95yoFx3Vk,OSWALDO ANTONIO SALGADO CANAVERAL
GESNE,Generación de Contenido Virtual,Página web,Presentacion de las seis tradiciones del cooperativismo,2018-06-14, Cooperativa Financiera JFKennedy,https://www.youtube.com/watch?time_continue=98&v=BrjuWfTs2EE,OSWALDO ANTONIO SALGADO CANAVERAL
GESNE,Generación de Contenido Virtual,Página web,Curso básico de Economía Solidaria,2017-12-13, ESUMER,https://www.esumer.edu.co/,OSWALDO ANTONIO SALGADO CANAVERAL
GESNE,Generación de Contenido Virtual,Página web,Vídeo conferencia internacional sobre Habilidades estratégicas del administrador de empresas,2017-08-23, Universidad Benito Juarez,https://www.youtube.com/watch?v=7-WNuSU09zA&t=16s,VICTORIA BLAQUISED RIVERA
GESNE,Generación de Contenido Virtual,Página web,CONFERENCIA INTERNACIONAL HABILIDADES ESTRATÉGICAS DEL ADMINISTRADOR DE EMPRESAS,2017-07-07, Universidad Benito Juarez de Mexico,http://www.ubjonline.mx/eventos/habilidades-estrategicas-del-administrador-de-empresas/,VICTORIA BLAQUISED RIVERA
