grupo,categoria,Titulo,Ano,Mes,Idioma,Ciudad,Disponibilidad,Num_pag,Num_contrato,Institucion_Presta_servicio
CONTAS,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA COOPERATIVA MULTIACTIVA LUIS AMIGO, 2018, 10, Español, MEDELLÍN,Restringido,8,N° 003,COOPERATIVA MULTIACTIVA LUIS AMIGÓ COOPERAMIGÓ
CALIDAD DE VIDA,Informes técnicos,"Informe de gestión técnico y financiero del convenio de cooperación para actividades de ciencia, tecnología e innovación No.024 de 2017, celebrado entre la Corporación Autónoma de los Valles del Sinú y del San Jorge y la Universidad Católica Luis Amigó.", 2017, 11, Español,,Restringido,0,024 de 2017,Corporación Autónoma Regional de los Valles del Sinú y del San Jorge
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Informes técnicos,Como informar un suicidio. Prevención del comportamiento suicida, 2018, 10, Español, ENVIGADO,Restringido,7,1,MUNICIPIO DE ENVIGADO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Informes técnicos,"Como identificar señales de alerta y generar estrategias de intervención, para la prevención del comportamiento suicida", 2018, 10, Español, ENVIGADO,Restringido,7,2,MUNICIPIO DE ENVIGADO
NEUROCIENCIAS BASICAS Y APLICADAS,Informes técnicos,Diagn¿stico de cultura organizacional a trav¿s de las open cards, 2017, 6, Español,,Restringido,0,449011-18.02-016,Transportes Rapido Ochoa S.A.
GESNE,Informes técnicos,Elaboracion del plan decenal de economia social y solidaria de Medellin, 2015, 12, Español, MEDELLÍN,Restringido,211,Convenio de Asociacion 4600060917 de 2015,ALCALDIA DE MEDELLIN
GORAS,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA ÓSCAR GOEZ CONSTRUCCIONES S.A.S., 2018, 6, Español, MEDELLÍN,Restringido,10,TEC-0070,OSCAR GOEZ CONSTRUCCIONES
GORAS,Informes técnicos,ADAPTACIÓN DEL SISTEMA CONTABLE-FINANCIERO DE LA EMPRESA INVERSIONES MARIN ROLDAN S.A.S, 2018, 11, Español, MEDELLÍN,Restringido,8,TEC-0043,INVERSIONES MARÍN ROLDAN
SISCO,Informes técnicos,"Gestión de la Información, el Conocimiento y las Comunicaciones en CORANTIOQUIA", 2014, 1, Español, MEDELLÍN,Restringido,1000,Convenio FUNLAM-CORANTIOQUIA 1172,Corporación Autónoma Regional Del Centro De Antioquia - Corantioquia
SISCO,Informes técnicos,Prototipo Funcional para Gestión del Conocimiento y Recuperación de Memoria Histórica en CORANTIOQUIA, 2014, 10, Español, MEDELLÍN,Restringido,456,Convenio FUNLAM-CORANTIOQUIA 1480-10,Corporación Autónoma Regional Del Centro De Antioquia - Corantioquia
SISCO,Informes técnicos,INSTRUMENTALIZACIÓN Y FUNCIONAMIENTO DEL MODELO DE GESTIÓN DE LA INFORMACIÓN Y EL CONOCIMIENTO CORPORATIVO, 2015, 1, Español,,Restringido,0,Convenio 1506-77,Corporación Autónoma Regional Del Centro De Antioquia - Corantioquia
