"","revista","categoria","ano","ISSN"
"1","COMMUNICATIONS OF THE ACM","A1",2022,"0001-0782"
"2","COMMUNICATIONS OF THE ACM","A1",2022,"
1557-7317"
"3","AIAA JOURNAL","A1",2022,"0001-1452"
"4","AIAA JOURNAL","A1",2022,"
1533-385X"
"5","AICHE JOURNAL","A1",2022,"0001-1541"
"6","AICHE JOURNAL","A1",2022,"
1547-5905"
"7","SEMINARS IN NUCLEAR MEDICINE","A1",2022,"0001-2998"
"8","SEMINARS IN NUCLEAR MEDICINE","A1",2022,"
1558-4623"
"9","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","A1",2022,"0001-3765"
"10","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","A1",2022,"
1678-2690"
"11","ACADEMY OF MANAGEMENT JOURNAL","A1",2022,"0001-4273"
"12","ACADEMY OF MANAGEMENT JOURNAL","A1",2022,"
1948-0989"
"13","ACCIDENT ANALYSIS AND PREVENTION","A1",2022,"0001-4575"
"14","ACCIDENT ANALYSIS AND PREVENTION","A1",2022,"
1879-2057"
"15","ACCOUNTING AND BUSINESS RESEARCH","A1",2022,"0001-4788"
"16","ACCOUNTING AND BUSINESS RESEARCH","A1",2022,"
2159-4260"
"17","ACCOUNTING REVIEW","A1",2022,"0001-4826"
"18","ACCOUNTING REVIEW","A1",2022,"
1558-7967"
"19","ACCOUNTS OF CHEMICAL RESEARCH","A1",2022,"0001-4842"
"20","ACCOUNTS OF CHEMICAL RESEARCH","A1",2022,"
1520-4898"
"21","JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","A1",2022,"0001-4966"
"22","JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","A1",2022,"
1520-8524"
"23","ACTA ANAESTHESIOLOGICA SCANDINAVICA","A1",2022,"0001-5172"
"24","ACTA ANAESTHESIOLOGICA SCANDINAVICA","A1",2022,"
1399-6576"
"25","ACTA DERMATO VENEREOLOGICA","A1",2022,"0001-5555"
"26","ACTA DERMATO VENEREOLOGICA","A1",2022,"
1651-2057"
"27","ACTA MATHEMATICA","A1",2022,"0001-5962"
"28","ACTA MATHEMATICA","A1",2022,"
1871-2509"
"29","ACTA MECHANICA","A1",2022,"0001-5970"
"30","ACTA MECHANICA","A1",2022,"
1619-6937"
"31","ACTA NEUROLOGICA SCANDINAVICA","A1",2022,"0001-6314"
"32","ACTA NEUROLOGICA SCANDINAVICA","A1",2022,"
1600-0404"
"33","ACTA NEUROPATHOLOGICA","A1",2022,"0001-6322"
"34","ACTA NEUROPATHOLOGICA","A1",2022,"
1432-0533"
"35","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","A1",2022,"0001-6349"
"36","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","A1",2022,"
1600-0412"
"37","ACTA ODONTOLOGICA SCANDINAVICA","A1",2022,"0001-6357"
"38","ACTA ODONTOLOGICA SCANDINAVICA","A1",2022,"
1502-3850"
"39","ACTA POLITICA","A1",2022,"0001-6810"
"40","ACTA POLITICA","A1",2022,"
1741-1416"
"41","ACTA PSYCHIATRICA SCANDINAVICA","A1",2022,"0001-690X"
