revista,categoria,ano,ISSN
COMMUNICATIONS OF THE ACM,A1,2021,0001-0782; 1557-7317
AIAA JOURNAL,A1,2021,0001-1452; 1533-385X
AICHE JOURNAL,A1,2021,0001-1541; 1547-5905
AORN JOURNAL,A1,2021,0001-2092; 1878-0369
SEMINARS IN NUCLEAR MEDICINE,A1,2021,0001-2998; 1558-4623
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,A1,2021,0001-3765; 1678-2690
ACADEMY OF MANAGEMENT JOURNAL,A1,2021,0001-4273; 1948-0989
ACCIDENT ANALYSIS AND PREVENTION,A1,2021,0001-4575; 1879-2057
ACCOUNTING REVIEW,A1,2021,0001-4826; 1558-7967
ACCOUNTS OF CHEMICAL RESEARCH,A1,2021,0001-4842; 1520-4898
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,A1,2021,0001-4966; 1520-8524
ACTA ANAESTHESIOLOGICA SCANDINAVICA,A1,2021,0001-5172; 1399-6576
ACTA DERMATO VENEREOLOGICA,A1,2021,0001-5555; 1651-2057
ACTA MATHEMATICA,A1,2021,0001-5962; 1871-2509
ACTA MECHANICA,A1,2021,0001-5970; 1619-6937
ACTA NEUROCHIRURGICA,A1,2021,0001-6268; 0942-0940
ACTA NEUROLOGICA SCANDINAVICA,A1,2021,0001-6314; 1600-0404
ACTA NEUROPATHOLOGICA,A1,2021,0001-6322; 1432-0533
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,A1,2021,0001-6349; 1600-0412
ACTA ODONTOLOGICA SCANDINAVICA,A1,2021,0001-6357; 1502-3850
ACTA POLITICA,A1,2021,0001-6810; 1741-1416
ACTA PSYCHIATRICA SCANDINAVICA,A1,2021,0001-690X; 1600-0447
ACTA PSYCHOLOGICA,A1,2021,0001-6918; 1873-6297
ACTA SOCIOLOGICA,A1,2021,0001-6993; 1502-3869
ACTA TROPICA,A1,2021,0001-706X; 1873-6254
BEHAVIOR GENETICS,A1,2021,0001-8244; 1573-3297
ADMINISTRATIVE LAW REVIEW,A1,2021,0001-8368; 2326-9154
ADMINISTRATIVE SCIENCE QUARTERLY,A1,2021,0001-8392; 1930-3815
ADVANCES IN COLLOID AND INTERFACE SCIENCE,A1,2021,0001-8686; 1873-3727
ADVANCES IN MATHEMATICS,A1,2021,0001-8708; 1090-2082
ADVANCES IN PHYSICS,A1,2021,0001-8732; 1460-6976
JOURNAL OF VOCATIONAL BEHAVIOR,A1,2021,0001-8791; 1095-9084
AFRICA,A1,2021,0001-9720; 1750-0184
AFRICAN AFFAIRS,A1,2021,0001-9909; 1468-2621
AFRICAN STUDIES REVIEW,A1,2021,0002-0206; 1555-2462
AFRIKA SPECTRUM,A1,2021,0002-0397; 1868-6869
JOURNAL OF NURSING ADMINISTRATION,A1,2021,0002-0443; 1539-0721
AGE AND AGEING,A1,2021,0002-0729; 1468-2834
AGRICULTURAL FINANCE REVIEW,A1,2021,0002-1466; 2041-6326
AGRICULTURAL HISTORY,A1,2021,0002-1482; 1533-8290
AGRONOMY JOURNAL,A1,2021,0002-1962; 1435-0645
ALDRICHIMICA ACTA,A1,2021,0002-5100
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,A1,2021,0002-7162; 1552-3349
JOURNAL OF THE AMERICAN ACADEMY OF RELIGION,A1,2021,0002-7189; 1477-4585
AMERICAN ANTHROPOLOGIST,A1,2021,"0002-7294; 0364-9873;
1548-1433"
AMERICAN ANTIQUITY,A1,2021,0002-7316; 2325-5064
AMERICAN BEHAVIORAL SCIENTIST,A1,2021,0002-7642; 1552-3381
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,A1,2021,0002-7820; 1551-2916
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,A1,2021,0002-7863; 1520-5126
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,A1,2021,0002-8177; 1943-4723
AMERICAN ECONOMIC REVIEW,A1,2021,0002-8282; 1944-7981
AMERICAN EDUCATIONAL RESEARCH JOURNAL,A1,2021,0002-8312; 1935-1011
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,A1,2021,0002-8614; 1532-5415
AMERICAN HEART JOURNAL,A1,2021,"0002-8703; 1097-5330;
1097-6744"
AMERICAN HISTORICAL REVIEW,A1,2021,0002-8762; 1937-5239
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,A1,2021,0002-9092; 1467-8276
AMERICAN JOURNAL OF ARCHAEOLOGY,A1,2021,0002-9114; 1939-828X
AMERICAN JOURNAL OF BOTANY,A1,2021,0002-9122; 1537-2197
AMERICAN JOURNAL OF CARDIOLOGY,A1,2021,0002-9149; 1879-1913
AMERICAN JOURNAL OF CLINICAL NUTRITION,A1,2021,0002-9165; 1938-3207
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,A1,2021,0002-9254; 1943-7749
AMERICAN JOURNAL OF EPIDEMIOLOGY,A1,2021,0002-9262; 1476-6256
AMERICAN JOURNAL OF GASTROENTEROLOGY,A1,2021,0002-9270; 1572-0241
AMERICAN JOURNAL OF HUMAN GENETICS,A1,2021,0002-9297; 1537-6605
AMERICAN JOURNAL OF INTERNATIONAL LAW,A1,2021,0002-9300; 2161-7953
AMERICAN JOURNAL OF LEGAL HISTORY,A1,2021,0002-9319; 2161-797X
AMERICAN JOURNAL OF MATHEMATICS,A1,2021,0002-9327; 1080-6377
AMERICAN JOURNAL OF MEDICINE,A1,2021,0002-9343; 1555-7162
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,A1,2021,0002-9378; 1097-6868
AMERICAN JOURNAL OF OPHTHALMOLOGY,A1,2021,0002-9394; 1879-1891
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,A1,2021,0002-9432; 1939-0025
AMERICAN JOURNAL OF PATHOLOGY,A1,2021,0002-9440; 1525-2191
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,A1,2021,0002-9459; 1553-6467
AMERICAN JOURNAL OF PHILOLOGY,A1,2021,0002-9475; 1086-3168
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,A1,2021,0002-9483; 1096-8644
AMERICAN JOURNAL OF PSYCHIATRY,A1,2021,0002-953X; 1535-7228
AMERICAN JOURNAL OF SCIENCE,A1,2021,0002-9599; 1945-452X
AMERICAN JOURNAL OF SOCIOLOGY,A1,2021,0002-9602; 1537-5390
AMERICAN JOURNAL OF SURGERY,A1,2021,0002-9610; 1879-1883
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,A1,2021,0002-9637; 1476-1645
AMERICAN LITERATURE,A1,2021,0002-9831; 1527-2117
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,A1,2021,0002-9939; 1088-6826
TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,A1,2021,0002-9947; 1088-6850
JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,A1,2021,"0002-9955; 0098-7484;
1538-3598"
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,A1,2021,0003-0007; 1520-0477
AMERICAN MINERALOGIST,A1,2021,0003-004X; 1945-3027
JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY,A1,2021,0003-0139; 1547-3848
AMERICAN NATURALIST,A1,2021,0003-0147; 1537-5323
AMERICAN PHILOSOPHICAL QUARTERLY,A1,2021,0003-0481; 2152-1123
AMERICAN POLITICAL SCIENCE REVIEW,A1,2021,0003-0554; 1537-5943
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,A1,2021,0003-0651; 1941-2460
AMERICAN PSYCHOLOGIST,A1,2021,0003-066X; 1935-990X
AMERICAN QUARTERLY,A1,2021,0003-0678; 1080-6490
BULLETIN OF THE AMERICAN SCHOOLS OF ORIENTAL RESEARCH,A1,2021,0003-097X; 2161-8062
AMERICAN SOCIOLOGICAL REVIEW,A1,2021,0003-1224; 1939-8271
THE AMERICAN SOCIOLOGIST,A1,2021,0003-1232; 1936-4784
AMERICAN SPEECH,A1,2021,0003-1283; 1527-2133
JAVMA JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,A1,2021,0003-1488; 1943-569X
AMERICAS,A1,2021,0003-1615; 1533-6247
