nombre_revista,clasificacion,ano,ISSN
Asfaltos Y Pavimentos,C,2016,01238574
Revista Pensamiento Americano,C,2016,20272448
Katharsis,B,2016,01247816
Verba Iuris,C,2016,01213474
En Contexto,C,2016,23463279
Luciernaga : Revista Virtual,C,2016,20271557
Ecos De Economía,A2,2016,16574206
Trashumante,C,2016,23229381
Educación Física Y Deporte,B,2016,0120677X
Historia Caribe,A2,2016,01228803
Amauta,C,2016,17945658
Apuntes Del Cenes,A2,2016,01203053
Historia Y Memoria,A2,2016,20275137
"Revista Ingeniería, Investigación Y Desarrollo",C,2016,1900771X
Latinoamericana De Estudios Educativos,B,2016,19009895
Ánfora,C,2016,01216538
Ingenieria E Innovacion,C,2016,23460466
Médicas Uis,B,2016,01210319
Ion,A2,2016,0120100X
Revista Integración,A2,2016,0120419X
Tumbaga,C,2016,19094841
Revista Colombiana De Ciencia Animal,C,2016,20271840
Pensamiento Psicológico,A1,2016,16578961
Revista Ces Salud Publica,C,2016,21459932
Ces Odontología,C,2016,22159185
Cuadernos De Administración,A2,2016,01204645
Revista De Ciencias,B,2016,01211935
Ingenium,C,2016,16920899
Colombia Amazónica,C,2016,01206222
Revista Científica,B,2016,01242253
Calle14,C,2016,20113757
Revista Interamericana De Investigación Educación Y Pedagogía,C,2016,1657107X
Comunicaciones En Estadística,B,2016,20273355
Revista Análisis Internacional (Rai),C,2016,22157190
Elementos,C,2016,2027923X
"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",A2,2016,03703908
Avances En Psicología Latinoamericana,A1,2016,17944724
Criterio Juridico Garantista,C,2016,21453381
Bio-Grafia,C,2016,20271034
Revista Escuela De Administración De Negocios,B,2016,01208160
Universitas Humanística,A2,2016,01204807
International Law : Revista Colombiana De Derecho Internacional,A2,2016,16928156
Investigación En Enfermería :Imagen Y Desarrollo,B,2016,01242059
Acta Médica Colombiana,A2,2016,01202448
Revista Latinoamericana De Psicología,A1,2016,01200534
Revista U.D.C.A. Actualidad & Divulgación Científica,A2,2016,01234226
Revista Colombiana De Gastroenterología,B,2016,01209957
Caldasia,A1,2016,03665232
Avances De Enfermería,A2,2016,01214500
Revista Colombiana De Estadística,A1,2016,01201751
Revista Colombiana De Sociología,C,2016,0120159X
Traza,C,2016,22160647
Códices,C,2016,17949815
Revista Med,A2,2016,01215256
La Propiedad Inmaterial,B,2016,16571959
Revista De Derecho Privado,B,2016,19097794
Dialectica Libertadora,C,2016,20113501
Revista Logos Ciencia 6& Tecnologia,B,2016,2145549X
Revista Avancesinvestigacion En Ingenieria,C,2016,17944953
Revista Nacional De Odontología,C,2016,19003080
Revista De Investigacion Agraria Ambiental,B,2016,21456097
Ingenium,C,2016,01247492
Iustitia,C,2016,16929403
Miradas,C,2016,0122994X
Cultura Del Cuidado Enfermeria,C,2016,17945232
Inciso,C,2016,17941598
Revista Gestión Y Región,C,2016,19009771
Latin American Journal Of Content & Language Integrated Learning,C,2016,23229721
Universidad Y Salud,A2,2016,01247107
Ingenierias & Amazonia,C,2016,16927389
Revista Colombiana De Radiología,C,2016,01212095
"Gist, Education And Learning Research Journal",B,2016,16925777
Revista Historia Y Sociedad,A2,2016,01218417
Tecciencia,B,2016,19093667
Producción + Limpia,A2,2016,19090455
Affectio Societatis,C,2016,01238884
Actualidades Biológicas,A2,2016,03043584
Revista Facultad De Odontología,A2,2016,0121246X
Íkala,A2,2016,01233432
Revista De Psicología Universidad De Antioquia,C,2016,21454892
Perfil De Coyuntura Economica,A2,2016,16574214
Perseitas,C,2016,23461780
Revista Ingeniería Biomédica,B,2016,19099762
Revista Ciencias Estratégicas,B,2016,17948347
Ingenieria Y Desarrollo,A2,2016,21459371
Cuadernos De Literatura Del Caribe E Hispanoamérica,A2,2016,17948290
Iter Ad Veritatem,C,2016,19099843
Ingenio Magno,C,2016,21459282
Perspectiva Geográfica,B,2016,01233769
La Palabra,A2,2016,01218530
Jurídicas,C,2016,17942918
Eleuthera,C,2016,20114532
Archivos De Medicina,B,2016,1657320X
Plumilla Educativa,C,2016,16574672
Revista Mvz Córdoba,A1,2016,01220268
Momentos De Ciencia,C,2016,16925491
Ciencia Y Cuidado,C,2016,17949831
Revista De Investigaciones,C,2016,1794631X
Sinapsis,C,2016,2145969X
Contexto,C,2016,23393084
Espiral,C,2016,2256151X
Revista Filosofía Uis,B,2016,16922484
Perspectivas Educativas,C,2016,20273401
Entramado,B,2016,19003803
Informador Tecnico,C,2016,0122056X
Lenguaje,B,2016,01203479
El Hombre Y La Máquina,C,2016,01210777
Nomadas,A2,2016,01217550
Mision Juridica,C,2016,1794600X
Palmas,C,2016,01212923
Visión Electrónica: Algo Más Que Un Estado Sólido,C,2016,19099746
Ciudad Paz-Ando,C,2016,20115253
Tecnura,C,2016,22487638
Cuadernos De Filosofía Latinoamericana,C,2016,01208462
Desafíos,A2,2016,01244035
"(Pensamiento), (Palabra) Y Obra",B,2016,2011804X
Revista Colombiana De Filosofía De La Ciencia,B,2016,01244620
Revista Salud Bosque,C,2016,22485759
Coyuntura Económica,B,2016,01203576
Vniversitas,A2,2016,00419060
Revista Ibero- Latinoamericana De Seguros,B,2016,01231154
Papel Político,A2,2016,01224409
Ensayos Sobre Política Económica,A2,2016,01204483
Acta Biológica Colombiana,A2,2016,0120548X
Profile,A1,2016,16570790
Revista Cuadernos De Economía,A2,2016,01214772
Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,A2,2016,01216805
Revista De Educación En Ingeniería,B,2016,19008260
Revista De Estudios Sociales,A1,2016,0123885X
Revista Odontos Odontologia Integral,C,2016,01237810
Revista Lasallista De Investigación,A2,2016,17944449
Pensando Psicologia,C,2016,19003099
Publicaciones E Investigación,C,2016,19006608
Psychologia. Avances De La Disciplina,A1,2016,19002386
Ciencia Y Salud Virtual,C,2016,21455333
Persona Y Bioética,A2,2016,01233122
Praxis,C,2016,16574915
Revista Virtual Universidad Católica Del Norte,B,2016,01245821
Horizontes Pedagógicos,C,2016,01238264
Revista De La Facultad De Ciencias,C,2016,0121747X
Revista Facultad Nacional De Agronomía - Medellín,A2,2016,03042847
Revista Areté,C,2016,16572513
Psicoespacios,C,2016,21452776
Teuken Bidikay,C,2016,22158405
Vitae,A1,2016,21452660
Estudios Políticos,A2,2016,01215167
Opinión Jurídica,A2,2016,16922530
Revista Eia,A2,2016,17941237
El Ágora Usb,A2,2016,16578031
Franciscanum,A2,2016,01201468
Revista Facultad De Derecho Y Ciencias Políticas,B,2016,01203886
Desarrollo Gerencial,C,2016,21455147
Revista Luna Azul,A2,2016,19092474
Cultura Científica,C,2016,1657463X
Revista Historia De La Educación Latinoamericana,A2,2016,01227238
Journal De Ciencia E Ingenieria,C,2016,21452628
Veterinaria Y Zootecnia,B,2016,20115415
Revista Colombiana De Tecnologías De Avanzada,C,2016,16927257
@Limenth,C,2016,16927125
Ugciencia,C,2016,19000332
Sophia,A2,2016,17948932
Historia 2.0,B,2016,20279035
Revista Iteckne,B,2016,16921798
Puente Revista Científica,C,2016,19099851
Boletín De Geología,A2,2016,01200283
Reflexión Política,B,2016,01240781
Acta Agronómica,A2,2016,01202812
S&T : Sistemas Y Telemática,C,2016,16925238
Fitopatologia Colombiana,B,2016,01200143
Historia Y Espacio,B,2016,01204661
Revista De Economía & Administración,C,2016,17947561
Revista Colombiana De Ortopedia Y Traumatología,C,2016,01208845
"Revista Salud, Historia Y Sanidad On-Line",C,2016,19092407
Pre-Til,C,2016,16926900
Revista Cientifica De Unincca,C,2016,01226150
Revista Republicana,A2,2016,19094450
Poliantea,C,2016,17943159
Panorama,C,2016,19097433
Revista Colombiana De Rehabilitacion,B,2016,16921879
Suma Psicológica,A2,2016,01214381
Revista Ciencias De La Salud,A2,2016,16927273
Revista Ib De La Información Básica Estadística,C,2016,22561552
Grafía. Cuaderno De Trabajo De Los Profesores De La Facultad De Ciencias Humanas Universidad Autónoma De Colombia,C,2016,16926250
Revista De Tecnología,C,2016,16921399
Revista Gerencia Y Políticas De Salud,A2,2016,16577027
Ambiente Y Desarrollo,C,2016,01217607
Perspectivas Internacionales,C,2016,19004257
Cuarzo,C,2016,01212133
Ingeniería E Investigación,A1,2016,01205609
"Innovar, Revista De Ciencias Administrativas Y Sociales",A1,2016,01215051
Pensamiento Jurídico,C,2016,01221108
Tendencias & Retos,C,2016,01229729
"Revista Opera - Observatorio De Políticas, Ejecución Y Resultados De La Administración Pública",B,2016,16578651
Revista Derecho Del Estado,B,2016,01229893
Revista De Economía Institucional,A2,2016,01245996
"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias",B,2016,19097786
Revista De Derecho Publico,B,2016,19097778
Revista Colombiana De Cirugía,A2,2016,20117582
Acta De Otorrinolaringología & Cirugía De Cabeza Y Cuello,C,2016,01208411
Revista Teckne,C,2016,1909793X
Revista Criminalidad,B,2016,17943108
Revista Ciencias Biomédicas,C,2016,22157840
Revista Del Instituto Colombiano De Derecho Procesal,B,2016,01232479
Diálogos De Saberes,C,2016,01240021
Revista Criterios,C,2016,20115733
Scientia Et Technica,C,2016,01221701
Arquetipo,C,2016,22159444
Dikaion - Lo Justo,B,2016,01208942
Palabra Clave,A2,2016,01228285
Duazary,C,2016,17945992
Tendencias,B,2016,01248693
Revista Historia De La Educacion Colombiana,C,2016,01237756
Revista Unimar,C,2016,01204327
Revista Colombiana De Medicina Física Y Rehabilitación,C,2016,01210041
Movimiento Científico,C,2016,20117191
Revista Iberoamericana De Psicología: Ciencia Y Tecnología,C,2016,20271786
Investigación Y Educación En Enfermería,A2,2016,01205307
Revista Facultad Nacional De Salud Publica,A2,2016,0120386X
Estudios De Filosofía,A2,2016,01213628
Mutatis Mutandis. Revista Latinoamericana De Traducción.,C,2016,2011799X
Revista Colombiana De Ciencias Sociales,C,2016,22161201
Revista Ingenierías Universidad De Medellín,A2,2016,16923324
Ratio Juris,C,2016,17946638
Cuestiones Teológicas Y Filosóficas,B,2016,0120131X
Pensamiento & Gestión,A2,2016,2145941X
Revista De Economía Del Caribe,A2,2016,20112106
Justicia Juris,B,2016,16928571
Juridicas Cuc,C,2016,16923030
In Vestigium Ire,C,2016,20119836
Ciencia En Desarrollo,A2,2016,01217488
Cuestiones De Filosofía,C,2016,01235095
Cuadernos De Lingüística Hispánica,A2,2016,0121053X
Biotecnología En El Sector Agropecuario Y Agroindustrial,A2,2016,16923561
Hacia La Promoción De La Salud,A2,2016,01217577
Academia & Derecho,B,2016,22158944
Rastros Rostros,C,2016,0124406X
Medicas Uis,B,2016,17945240
Revista Ces Psicología,A2,2016,20113080
Ces Medicina,C,2016,22159177
Tabula Rasa,A2,2016,17942489
Suelos Ecuatoriales,C,2016,05625351
Redes De Ingenieria,C,2016,2248762X
"Góndola, Enseñanza Y Aprendizaje De Las Ciencias",C,2016,23464712
Via Inveniendi Et Iudicandi Revista Virtual,C,2016,19090528
Hallazgos,B,2016,17943841
Revista Cife,C,2016,01243551
Análisis,C,2016,01208454
Mutis,C,2016,22561498
Punto De Vista,C,2016,0123580X
Biota Colombiana,A2,2016,01245376
Cuadernos Latinoamericanos De Administración,C,2016,19005016
Revista Colombiana De Bioética,B,2016,19006896
Universitas Psychologica,A1,2016,16579267
Universitas Scientiarum,A2,2016,01227483
Universitas Philosophica,A2,2016,01205323
Cuadernos De Literatura,B,2016,01228102
Finanzas Y Política Económica,A2,2016,22486046
Ciencia Y Poder Aéreo,C,2016,19097050
Análisis Político,A2,2016,01214705
Revista Colombiana De Matemáticas,A2,2016,00347426
Boletín De Matemáticas,B,2016,01200380
Momento,B,2016,01214470
Revista De Investigaciones Unad,C,2016,0124793X
Acta Odontologica Colombiana,C,2016,20277822
Revista Ciencia  Y Tecnología Para La Salud Visual Y Ocular,C,2016,16928415
Ciencia E Ingeniería Neogranadina,B,2016,01248170
Revista Colombiana De Física,B,2016,01202650
Revista De Derecho Privado,B,2016,01234366
Turismo Y Sociedad,C,2016,01207555
Historia Crítica,A1,2016,01211617
Antípoda : Revista De Antropología Y Arqueología,A2,2016,19005407
Medicina,B,2016,01205498
Tesis Psicologica,C,2016,19098391
Acta Neurológica Colombiana,A2,2016,01208748
Revista Colombiana De Cardiología,A2,2016,01205633
Revista Uninpahu,C,2016,01213652
Revista Politecnica,B,2016,19002351
Itinerario Educativo : Revista De La Facultad De Educación,C,2016,01212753
Educación Y Educadores,A2,2016,01231294
Aquichan,A1,2016,16575997
Revista Jurídica Piélagus,C,2016,16576799
Dyna,A1,2016,00127353
Ensayos De Economía,B,2016,0121117X
Ingeniería Y Ciencia,A2,2016,17949165
Lecturas De Economía,A2,2016,01202596
Estudios De Literatura Colombiana,B,2016,01234412
Anagramas : Rumbos Y Sentidos De La Comunicación,A2,2016,16922522
Semestre Económico,A2,2016,01206346
Escritos,A2,2016,01201263
Eidos,A2,2016,20117477
Salud Uninorte,A2,2016,20117531
Economía & Región,B,2016,16928989
Cultura Educacion Y Sociedad,C,2016,21459258
Economicas Cuc,B,2016,01203932
Justicia,B,2016,01247441
Principia Iuris,B,2016,01242067
Revista Biodiversidad Tropical,C,2016,20278918
Biosalud,A2,2016,16579550
Revista Latinoamericana De Estudios De Familia,B,2016,21456445
"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",A2,2016,1692715X
Revista Facultad De Ciencias Contables Económicas Y Administrativas Faccea,C,2016,16579553
Revista Actividad Fisica Y Desarrollo Humano,C,2016,16927427
Acta Agronomica,C,2016,23230118
Libre Empresa,C,2016,16572815
Colombia Médica,A1,2016,16579534
Ingeniería Y Competitividad,A2,2016,01233033
Livestock Research For Rural Development,B,2016,01213784
Revista Guillermo De Ockman,C,2016,1794192X
Enunciación,C,2016,01226339
Colombian Applied Linguistics Journal,A2,2016,01234641
Ingeniería,B,2016,0121750X
Diversitas : Perspectivas En Psicología,A2,2016,17949998
