grupo,categoria,Nivel_Academico,Titulo,Pais,ano,Idioma,Medio_divulgacion,Sitio_Web,Nombre_del_Orientado,Programa_Academico,Institucion,Autores
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Incidencia económica de las importaciones en la competitividad del sector textil de Medellín,Colombia,2020,Español,Otro,,Valentina Baena Henao,Administración Financiera,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA,LUZ MERY ORTIZ SANCHEZ
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Creación de políticas y proceso idóneos de posicionamiento de créditos educativos y manejo de cartera en el instituto Colombia de educación para el trabajo INSET,Colombia,2020,Español,Papel,,"ELIANA ROCIO OSORIO POSADA, JUAN GUILLERMO VALENCIA, GEORGE JUAN DAVID MUÑOZ",Contaduría Publica,Universidad Católica del Norte,SOL BEATRIZ VELEZ ESCOBAR
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Doctorado,Jurado Evaluador Ética del profesional en contaduria publica,Venezuela,2018,Español,Papel,www.ula.ve,Fasutina Manrique,Doctorado en Ciencias Contables,Universidad de los Andes Venezuela,MARIA VICTORIA AGUDELO VARGAS
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,"Impactos de la información e indicadores financieros, por la convergencia de NIIF Plenas: Propiedad, Planta y Equipo",Colombia,2013,Español,Papel,,Jaime Alberto Guevara Sanabria,MBA,UNIVERSIDAD DE ANTIOQUIA,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Normalización de los Procesos Contables y Recursos Humanos del Restaurante Deli Loy,Colombia,2009,Español,Internet,,Sandra Sánchez Pérez - Juan Sebastián Arroyave López - Daniel Becerra Puerta,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Manejo de Insumos y Control Interno de Inventarios en el Área de Almacén de la Empresa Flores el Trigal Ltda.,Colombia,2009,Español,Internet,,Carmen Elena Vargas Arango - Claudia Marcela Agudelo Gómez,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Modelo de Control Interno para el Proceso de Inventarios de Todollantas Del Valle S.A.,Colombia,2008,Español,Internet,,,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
CONTAS,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,Implementación de un Modelo de Balance Social para la Fundación Banco Arquidiocesano de Alimentos de Medellín,Colombia,2008,Español,Internet,,,Contaduría Pública,POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID,LILIAM BETANCUR JARAMILLO
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Maestría,La Comunicación Matemática Elemento Clave en la Resolución de Problemas,Colombia,2020,Español,Papel,,"Diana Sirley Castro García1, Jeicy Andrea Betancur López2  y María Elizabeth Muñoz López3",MAESTRIA EN EDUCACION,UNIVERSIDAD CATOLICA DE ORIENTE,HERNAN ANDRES  CARMONA GARZON
FILOSOFIA Y TEOLOGIA CRITICA,Jurado/Comisiones evaluadoras de trabajo de grado,Pregrado,El concepto de acción y la formación del hombre político en Hannah Arendt,Colombia,2019,Español,Internet,,Chirstian David Rodríguez Aguilar,Filosofía,UNIVERSIDAD PONTIFICIA BOLIVARIANA,ANDRES FELIPE AGUDELO ZORRILLA
