grupo,categoria,Tipo_producto,Titulo,Pais,Ano,ISBN,Editorial,Autores,id
CONTAS,Libros publicados,Libro resultado de investigación,"Utilidad de la Aplicación de la Gerencia del Valor en las Empresas Sociales del Estado (E.S.E.) del Área Metropolitana de Medellín: Caso Hospital Venancio Díaz Díaz y Hospital Marco Fidel Suárez""",Colombia,2017,978-958-56260-7-2,FONDO EDITORIAL UNISABANETA,"FARLEY SARY ROJAS RESTREPO, JORGE IVAN JIMENEZ SANCHEZ",1
CONTAS,Libros publicados,Libro resultado de investigación,Elementos De Planificación Contable,Colombia,2011,978-958-8366-35-7,Ediciones UNAULA,"ELKIN HORACIO QUIROS LIZARAZO, HERNAN CARLOS BUSTAMANTE GARCIA",2
CONTAS,Libros publicados,Libro resultado de investigación,Proceso de consolidación de Capital Social en la ciudad de Medellín en el marco de los enfoques de desarrollo humano y responsabilidad social,Colombia,2009,978-958-8399-12-6,Municipio De Medellin,"ELKIN HORACIO QUIROS LIZARAZO, OLGA LUCIA ARBOLEDA ALVAREZ, ALFREDO MANUEL GHISO COTOS, EDISON FRANCISCO VIVEROS CHAVARRIA",3
CONTAS,Libros publicados,Libro resultado de investigación,"Responsabilidad Social, Organizaciones Y Contabilidad",Colombia,2007,978-958-98047-5-9,Fondo Editorial Fundacion Universitaria Luis Amigo,"ELKIN HORACIO QUIROS LIZARAZO, HERNAN CARLOS BUSTAMANTE GARCIA",4
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,"La crucifixión en la literatura latinoamericana contemporánea: Hugo Mujica, Raúl Zurita und Pablo Montoya.",Alemania,2021,978-3-946426-19-6 ,Missionshilfe Verlag,JUAN ESTEBAN LONDONO BETANCUR,5
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,"Kreuzesdeutungen in der gegenwärtigen Literatur Lateinamerikas: Hugo Mujica, Raúl Zurita und Pablo Montoya.",Alemania,2021,2196-4696,Missionshilfe Verlag,JUAN ESTEBAN LONDONO BETANCUR,6
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Wittgenstein hipertextual,Colombia,2019,978-958-8943-50-3,Fondo Editorial Universidad Católica Luis Amigó,DAVID ESTEBAN ZULUAGA MESA,7
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,"Perspectivas del arte en Hölderlin, Novalis y Wackenroder",Colombia,2019,978-958-8943-47-3,Fondo Editorial Universidad Católica Luis Amigó,"ANDRES ALFREDO CASTRILLON CASTRILLON, PALOMA MARIN ESCOBAR, JHOANA ANDREA GUTIERREZ CADAVID, CARLOS GALLEGO ARROYAV GALLEGO ARROYAV",8
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Pasividad mística: una perspectiva epistemológica,Colombia,2016,978-958-8943-07-7,Fondo Editorial Funlam,LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ,9
FILOSOFIA Y TEOLOGIA CRITICA,Libros publicados,Libro resultado de investigación,Teología del deporte,Colombia,2015,978-958-8399-91-1,Fondo Editorial Funlam,JONATHAN ANDRES RUA PENAGOS,10
