grupo,categoria,tipo_producto,titulo,pais,ano,ISBN,editorial,autores
FILOSOFIA Y TEOLOGIA CRITICA,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Profesionalismo y profesionalidad del Maestro,Colombia,2020,978-958-8943-57-2,Fondo Editorial Universidad Católica Luis Amigó,JORGE WILLIAM GUERRA MONTOYA
FILOSOFIA Y TEOLOGIA CRITICA,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,La Filosofía Hoy,Colombia,2015,978-958-8399-84-3,Fondo editorial Funlam,"DAVID ESTEBAN ZULUAGA MESA, ANDRES ALFREDO CASTRILLON CASTRILLON, ANDRES MAURICIO SANCHEZ FLOREZ, JUAN JOSE ESCOBAR LOPEZ, ANDRES OSPINA RAMIREZ, ALFREDO MANUEL GHISO COTOS, JULIAN NARANJO ESCOBAR, ANDRES FELIPE AGUDELO ZORRILLA, PAOLA ANDREA FERNANDEZ ZAPATA, DIANA MILENA GOMEZ HURTADO, JEISON JULIAN FRANCO, PALOMA MARIN ESCOBAR, JHOANA ANDREA GUTIERREZ CADAVID"
URBANITAS,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Estrategias de publicidad social. Coyunturas sociales como oportunidad de mejoramiento de valor responsable.,Colombia,2019,978-958-8943-48-0,Fondo Editorial Universidad Católica Luis Amigó,"JUAN DIEGO LOPEZ MEDINA, RAFAEL VARGAS CANO, JORGE IVAN GAVIRIA MESA, MONICA LUCIA GRANDA VIVEROS, OMAR MUNOZ SANCHEZ, JAIME ALBERTO OROZCO TORO, JOHN FREDY CANO GUTIERREZ, CLAUDIA INES VELEZ OCHOA, DAVID ALEJANDRO RESTREPO DIAZ, DIEGO ANDRES DORIA GOMEZ"
URBANITAS,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,"Sin perder de vista. Reflexiones teóricas sobre comunicación visual, color y marca",Colombia,2017,978-958-8943-36-7,Fondo Editorial Luis Amigó,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Pertinencia de la investigación publicitaria,Alemania,2017,978-3-639-53017-9,Editorial Académica Española,"JUAN DIEGO LOPEZ MEDINA, RAFAEL MAURICIO PARIS RESTREPO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Violencias basadas en género: la otra tragedia de Colombia. Planteamientos académicos.,Colombia,2022,978-958-8943-78-7,Fondo Editorial Universidad Católica Luis Amigó,"ALEXANDER RODRIGUEZ BUSTAMANTE, CRISTINA MARIA GIRALDO HURTADO, SONIA ELENA LOPEZ PULGARIN, GLORIA MARIA LOPEZ ARBOLEDA, DAVID GUTIERREZ GONZALEZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Depresión angustia e ideación suicida en niños y adolescentes ¿cómo identificarlas y responder diferencialmente?,Colombia,2019,978-958-52106-0-8,CORPORACIÓN SER ESPECIAL,ELIZA KRATC GIL
AYELEN,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Habilidades para la vida. Aproximaciones conceptuales.,Colombia,2021,978-958-8943-71-8,Fondo Editorial Universidad Católica Luis Amigó,"LAURA STELLA PARRA ESPITIA, GERMAN ANDRES TORRES ESCOBAR"
AYELEN,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Habilidades para la vida. Aproximaciones conceptuales,Colombia,2021,9789588943718,Fondo Editorial Fundacion Universitaria Luis Amigo,"LAURA STELLA PARRA ESPITIA, ARCADIO DE JESUS CARDONA ISAZA, SEBASTIAN TORO VELEZ, GERMAN ANDRES TORRES ESCOBAR"
AYELEN,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Violencia filioparental: aportes y reflexiones. Fondo Editorial Universidad Católica Luis Amigò,Colombia,2021,978-958-8943-62-6,Fondo Editorial Universidad Católica Luis Amigó,VIVIANA CARMENZA AVILA NAVARRETE
CALIDAD DE VIDA,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Organización Y Liderazgo Comunitario,Colombia,2010,978-958-44-7194-9,Ediciones Unisinu,"MIGUEL EFREN GARCES PRETTEL, VICTOR NEGRETE BARRERA"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,"Trilogía: Cuentos, Poesías Y Ensayos",Colombia,2015,978-958-8399-90-4,Fondo Editorial Funlam,NORMAN DARIO MORENO CARMONA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Responsabilidad social : perspectivas para la acción en Colombia,Colombia,2015,978-958-8399-88-1,Fondo Editorial Luis Amigó,SONIA NATALIA COGOLLO OSPINA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Amor A La Tinta,Colombia,2011,978-958-839938-6,Fondo Editorial Fundacion Universitaria Luis Amigo,NORMAN DARIO MORENO CARMONA
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,¿Cuál es tu cuento con el fútbol? Categoría adultos,Colombia,2017,978-958-764-475-3,Editorial UPB,ALEXANDER RODRIGUEZ BUSTAMANTE
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Clic. Implicaciones de la virtualidad globalizada en el sujeto,Colombia,2015,978-958-8399-87-4,Universidad Católica Luis Amigó,ALEXANDER RODRIGUEZ BUSTAMANTE
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",Libros de divulgación y/o Compilación de divulgación,Libros de divulgación y/o Compilación de divulgación,Congreso Internacional de Pedagogía Amigoniana: Perspectivas desafíos del siglo XXI,Colombia,2018,2619-2128,Fondo Editorial Universidad Católica Luis Amigó,SANDRA JULIET CLAVIJO ZAPATA
