grupo,categoria,tipo_producto,titulo,pais,ano,ISBN,editorial,autores
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Situaciones y retos de la investigación en Latinoamérica,Colombia,2018,978-958-8943-38-1,Fondo Editorial Funlam,"JUAN SANTIAGO CALLE PIEDRAHITA, GUSTAVO ADOLFO CALDERON VALLEJO, PAULA ANDREA MONTOYA ZULUAGA, SONIA NATALIA COGOLLO OSPINA, SANTIAGO ALBERTO MORALES, MAGDA VICTORIA DIAZ ALZATE"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,978-958-8843-01-8,Fondo Editorial Cib Medellin,"GUILLERMO ALONSO CASTANO PEREZ, ELVIA VELASQUEZ DE P, ALVARO OLAYA PELAEZ, SERGIO CASTRO REY"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,"Fundamentos De Medicina: Adicciones, Aspectos Clínicos Y Psicosociales, Tratamiento Y Prevencion",Colombia,2013,978-958-8843-01-8,Fondo Editorial Cib Medellin,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Kit Educativo: Universidades Preventivas,Colombia,2008,978-958-8399-01-0,Funlam,GUILLERMO ALONSO CASTANO PEREZ
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,Colombia,2005,958-97524-9-7,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 4. Investigación Y Problemáticas Sociales,Colombia,2005,958-97524-7-0,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,Colombia,2005,958-97685-0-4,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Serie Formandonos En Prevencion Integral. Lo Socieducativo En La Prevencion Integral,Colombia,2005,9589752489,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Conceptos Que Constituyen Información Básica Sobre Farmacodependencia Y Alcoholismo,Colombia,2003,958-97303-0-2,Fondo Editorial Fundacion Universitaria Luis Amigo,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Libros de formación,Libros de formación,Manual Diseñemos Juntos Un Programa De Prevención Integral,Colombia,2003,958-97303-1-0,Funlam,"GUSTAVO ADOLFO CALDERON VALLEJO, ANGELA MARIA PARRA BASTIDAS, CAROLINA MONTOYA MONTOYA, GUILLERMO ALONSO CASTANO PEREZ"
