grupo,categoria,tipo_producto,titulo,pais,ano,ISBN,editorial,autores
URBANITAS,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Puntadas Que Tejen Región (Cartilla),Colombia,2008,978-958-44-3161-5,Empresas públicas de Medellín,EDWIN ANDRES SEPULVEDA CARDONA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Kit Educativo: Universidades Preventivas,Colombia,2008,978-958-8399-01-0,Funlam,"GUILLERMO ALONSO CASTANO PEREZ, MARIA CAROLINA MONTOYA MONTOYA, ANGELA MARIA PARRA BASTIDAS, GUSTAVO ADOLFO CALDERON VALLEJO"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formándonos En Prevención Integral. Módulo 4. Investigación Y Problemáticas Sociales,Colombia,2005,958-97524-7-0,Fundación Universitaria Luis Amigó,"LUZ DIOMEDES RAMIREZ URREGO, MARITZA  MEJIA, LILLIAN GARCIA DE BRENS, DIANA ROSSI, MONICA  MACRESCU, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,Colombia,2005,958-97524-9-7,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO PEREZ, ANGELA MARIA PARRA BASTIDAS"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formandonos En Prevencion Integral. Lo Socieducativo En La Prevencion Integral,Colombia,2005,9589752489,Fundación Universitaria Luis Amigó,"GORKA MORENO ARNEDILLO, GRACIELA TOUZE, BRENDA ELIZABETH  MELENDEZ  ROMERO, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA"
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,Colombia,2005,958-97685-0-4,Fundación Universitaria Luis Amigó,"GUSTAVO ADOLFO CALDERON VALLEJO, GUILLERMO ALONSO CASTANO PEREZ, CAROLINA MONTOYA MONTOYA, ANGELA MARIA PARRA BASTIDAS"
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,"Manual De Prevencion Del Suicidio Para Instituciones Educativas. ¿Que Hacer En Caso De Suicidio Consumado, Intento De Suicidio O Ideacion Suicida De Nuestros Estudiantes?",Colombia,2010,9789588399263,Fondo Editorial Funlam,JAIME ALBERTO CARMONA PARRA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Manuales y Guías Especializadas,Manuales y Guías Especializadas,"Manual De Prevencion Del Suicidio Para Instituciones Educativas. ¿Que Hacer En Caso De Suicidio Consumado, Intento De Suicidio O Ideacion Suicida De Nuestros Estudiantes?",Colombia,2010,9789588399263,Fondo Editorial Funlam,JAIME ALBERTO CARMONA PARRA
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Manuales y Guías Especializadas,Manuales y Guías Especializadas,Familia y dinámica familiar. Cartilla dirigida a facilitadores para la aplicación de talleres con familias,Colombia,2014,978-958-8399-69-0,Fondo Editorial Universidad Católica Luis Amigó,EDISON FRANCISCO VIVEROS CHAVARRIA
NEUROCIENCIAS BASICAS Y APLICADAS,Manuales y Guías Especializadas,Manuales y Guías Especializadas,¿Cómo es la relación entre cognición social y trastorno disocial de la conducta?,Colombia,2015,978-958-8399-80-5,Fondo Editorial Funlam,"PAULA ANDREA MONTOYA ZULUAGA, OLBER EDUARDO ARANGO TOBON"
