grupo,categoria,Tipo_Publicacion_divulgativa,Titulo,pais,ano,libro,ISBN,volumen,Paginas,Informacion,Editorial,Autores
CONTAS,Otra publicación divulgativa,Otra,Reflexiones encaminadas a las futuras tendencias de la contabilidad verde,, 2020,,,,,Candy Chamorro,,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Otra publicación divulgativa,Otra,Inequidad de género; en los rangos más altos de la profesión contable,, 2019,,,,,Candy Chamorro Gonzalez,,CANDY LORENA CHAMORRO GONZALEZ
CONTAS,Otra publicación divulgativa,Otra,Video You tube,, 2017,,,,,Grupo GICCO Universidad de Antioquia,,ALBA LUCIA GOMEZ RAMIREZ
CONTAS,Otra publicación divulgativa,Otra,Prólogo,Colombia, 2006,,0440-40770440-4077,,178,Programas de investigación en contabilidad - Eutimio Mejía Soto,Artes Graficas,ELKIN HORACIO QUIROS LIZARAZO
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Epílogo,Sobre la historia y teología de los evangelios canónicos. En: Teocotidiana,, 2021,,,,,Juan Sebastián Hernández Valencia,,JUAN SEBASTIAN HERNANDEZ VALENCIA
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,Ciencia y religión: apuntes sobre dos cosmolenguajes. En: Teocotidiana.,, 2021,,,,,Juan Sebastián Hernández Valencia,,JUAN SEBASTIAN HERNANDEZ VALENCIA
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,La visión esquílea y euripideana de la democracia ateniense,, 2015,,,,,Jhoan Andrea Gutiérrez Cadavid,,JHOANA ANDREA GUTIERREZ CADAVID
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Prólogo,"Moral y deporte: Vicios, valores y virtudes cardioespirituales",, 2014,,,,,Tomás Emilio Bolaño Mercado,,JONATHAN ANDRES RUA PENAGOS
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,Revista Perseitas,, 2013,,,,,,,JESUS DAVID GIRADO SIERRA
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,"Hibridación y violencia: una mirada a la estructura de familia, ciudad y país en Colombia",, 2012,,,,,Wilfrido Zúñiga Rodríguez,,"ANDRES FELIPE AGUDELO ZORRILLA, SUSANA KATALINA TORRES SUAREZ, WILFRIDO ZUNIGA RODRIGUEZ"
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,Qué es la Renovación Carismática? Elementos característicos.,Colombia, 2009,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,"""Ay de mi si no anuncio el Evangelio""",Colombia, 2009,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,El Discipulado y la Misión de los Servidores de la RCC,Colombia, 2007,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,"El seguimiento, esencia del discipulado",Colombia, 2007,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,"""La Comunitá Gesú Risorto e la Fondazione Pane e Paradiso"" .""Gesú Risorto. Rivista Trimestrale della Comunitá Gesu´Risorto del Rinnovamento Carismatico Cattolico""",Italia, 2007,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,"El Bautismo en el Espíritu Santo, experiencia fundamental en la Renovación Católica Carismática",Colombia, 2007,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,El Espiritu Santo en la Obra Lucana,Colombia, 2007,,,,0,,,JANNETH MUNOZ RENDON
FILOSOFIA Y TEOLOGIA CRITICA,Otra publicación divulgativa,Otra,Antropología y Pedagogía.,Colombia, 2007,,,,84,,,FREDY DE JESUS FERNANDEZ MARQUEZ
URBANITAS,Otra publicación divulgativa,Otra,El ideal de la marca verde. Una meta que pasa por varios colores,, 2020,,,,,Juan-Diego López-Medina,,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Otra publicación divulgativa,Otra,Módulo Gestión del Diseño,, 2020,,,,,Juan-Diego López-Medina,,JUAN DIEGO LOPEZ MEDINA
URBANITAS,Otra publicación divulgativa,Otra,"Narrativas transmedia, el vino y la botella",, 2019,,,,,Edwin Andrés Sepúlveda Cardona,,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Otra publicación divulgativa,Otra,"eBooks interactivos, maquetación digital y las fases de producción",, 2019,,,,,Edwin Andrés Sepúlveda Cardona,,EDWIN ANDRES SEPULVEDA CARDONA
URBANITAS,Otra publicación divulgativa,Otra,Los tres príncipes de Serendip -Fanzine-,, 2019,,,,,Carlos Suárez Quiceno,,"MANUELA RAMIREZ RODAS, CARLOS SUAREZ QUICENO"
URBANITAS,Otra publicación divulgativa,Epílogo,Los 80 de la Gota fría,, 2018,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Importaculismo mediáitico y colectivo,, 2018,,,,,,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,La sombra de un presidente,, 2018,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Débora Arango y la hipocresía nacional,, 2018,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Colombia al filo de la Oportunidad,, 2018,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Los cínicos no sirven para este oficio,, 2018,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Boletín informativo Mesa de Bibliotecas Instituciones de Educación Superior de Antioquia,, 2018,,,,,N/A,,CARLOS SUAREZ QUICENO
URBANITAS,Otra publicación divulgativa,Otra,"Asesinato de líderes, líos de balas",, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,"Buitrago, una víspera de 70",, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,"Máximo Jiménez, cuando el vallenato le cantaba al pueblo",, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Epílogo,Fajardo el gaseoso,, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Los falsos profetas y nuestra conciencia política,, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Epílogo,El vallenato y los narcos,, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,"Maluma, el traductor",, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Epílogo,Las rosquillas de Sahagún,, 2017,,,,,Marcos Fidel Vega Seña,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Los traidores de la buena fe,, 2017,,,,,,,MARCOS VEGA SENA
URBANITAS,Otra publicación divulgativa,Otra,Ciudad fragmentada - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,La sexualidad - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,El esoterismo,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Cooperativismo,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,El matrimonio - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Derechos de los Niños - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Comunicación en la televisión - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Cine y sicología - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Hipocondrías - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
URBANITAS,Otra publicación divulgativa,Otra,Testamento - Hora de Consultar,Colombia, 2006,,,,0,,,ANCIZAR VARGAS LEON
