grupo,categoria,tipo_producto,titulo,pais,revista,ISSN,ano,vol,fasc,pags,autores
CONTAS,Otros artículos publicados,Revista de divulgación,La ética de la autenticidad como alternativa en la formación del profesional contable .,Colombia,Revista Visión Contable,2539-0104,2021,24,,8 - 30,"NORKA JUDITH VILORIA ORTEGA, MARIA VICTORIA AGUDELO VARGASNA"
CONTAS,Otros artículos publicados,Revista de divulgación,Incidencia y percepción de la carga fiscal en Colombia. Análisis por categoría de contribuyentes,Colombia,SUMMA. Revista disciplinaria en ciencias económicas y sociales,2711-0788,2020,3,N/A,1 - 24,RUBY STELLA CABRERA JARAMILLONA
CONTAS,Otros artículos publicados,Revista de divulgación,La teoría fundamentada como método de investigación para el desarrollo de la educación contable,Colombia,Visión Contable,2539-0104,2020,22,,60 - 77,LUZ MERY ORTIZ SANCHEZNA
CONTAS,Otros artículos publicados,Revista de divulgación,El control interno de los inventarios:su incidencia en la gestión financiera de ¿Due Amici Pizzería¿,Colombia,Revista Activos,0124-5805,2020,18,2,0 - 12,CANDY LORENA CHAMORRO GONZALEZNA
CONTAS,Otros artículos publicados,Revista de divulgación,Procesos de gestión: edificios sostenibles vs. edificios tradicionales,Colombia,Revista Activos,0124-5805,2020,17,2,135 - 158,CANDY LORENA CHAMORRO GONZALEZNA
CONTAS,Otros artículos publicados,Revista de divulgación,La investigación formativa en programas de contaduría: el caso de la Universidad de Antioquia,Colombia,Visión Contable,0121-5337,2019,20,20,136 - 154,CARLOS EDUARDO CASTANO RIOSNA
CONTAS,Otros artículos publicados,Revista de divulgación,"Coworking Aula invertida¿ Participación interdisciplinaria para la construcción colectiva de soluciones, desde la perspectiva del paciente, experiencia vivencial en el congreso internacional de ciencia, tecnología e innovación, al servicios del desarrollo territorial, Medellín 2019",Colombia,"Ciencia, Tecnologia e Innovación en Salud",2539-3871,2019,4,,44 - 50,PAULA ANDREA USQUIANO YEPESNA
CONTAS,Otros artículos publicados,Revista de divulgación,Transport economics and sustainable development in Ukraine,Ucrania,Marketing and Management of Innovations,2227-6718,2019,3,,272 - 284,CANDY LORENA CHAMORRO GONZALEZNA
CONTAS,Otros artículos publicados,Revista de divulgación,"Relaciones entre proyecto de vida y organizaciones: una mirada metafórica desde la planeación, la formación y la contabilidad",Colombia,SCIENCE OF HUMAN ACTION,2500-669X,2019,4,2,277 - 306,"ANA MARIA ZAPATA MEJIA, JUAN CARLOS AGUDELO RESTREPO, JULIAN ESTEBAN FLOREZ CORREA, CARLOS EDUARDO CASTANO RIOSNA"
CONTAS,Otros artículos publicados,Revista de divulgación,El efecto de la obtención del título de pregrado en el ingreso económico: el caso de los graduados de la Universidad Católica Luis Amigó,Colombia,SCIENCE OF HUMAN ACTION,2500-669X,2019,4,1,126 - 146,LUZ MERY ORTIZ SANCHEZNA
CONTAS,Otros artículos publicados,Revista de divulgación,LA VALORACIÓN DE LOS RECURSOS NATURALES EN LA DISCUSIÓN PARADIGMÀTICA EN CONTABILIDAD,Colombia,FaceRevista De La Facultad De Ciencias Económicas Y Empresariales De La Universidad De Pamplona,1794-9920,2018,18,2,24 - 38,CARLOS ALBERTO MUNOZ RESTREPO
CONTAS,Otros artículos publicados,Revista de divulgación,LA VALORACIÓN DE LOS RECURSOS NATURALES EN LA DISCUSIÓN PARADIGMÀTICA EN CONTABILIDAD,Colombia,(25009338) Face Revista De La Facultad De Ciencias Económicas Y Empresariales De La Universidad De Pamplona,2500-9338,2018,18,2,24 - 38,"CARLOS ALBERTO MUNOZ RESTREPO, ALBA LUCIA GOMEZ RAMIREZNA"
CONTAS,Otros artículos publicados,Revista de divulgación,La valoración de los recursos naturales en la discusión paradigmàtica en contabilidad,Colombia,FACE: Revista de la Facultad de Ciencias Económicas y Empresariales,1794-9920,2018,2,N/A,24 - 37,ALBA LUCIA GOMEZ RAMIREZNA
CONTAS,Otros artículos publicados,Revista de divulgación,"UNA REFLEXIÓN ACERCA DEL DOCUMENTAL INSIDE JOB DE CHARLES FERGUSON. LA COMPRENSIÓN DE LA CRISIS FINANCIERA DE 2008, DESDE LA TEORÍA DE LA CONTABILIDAD Y LA REGULACIÓN",Colombia,Science of Human Action,2500-669X,2017,2,1,29 - 37,CARLOS ALBERTO MUNOZ RESTREPONA
CONTAS,Otros artículos publicados,Revista de divulgación,PRESENTE Y FUTURO DE LA INVESTIGACIÓN CONTABLE EN COLOMBIA,Colombia,Revista Internacional Legis De Contabilidad & Auditoria,1692-2913,2017,70,,107 - 120,CARLOS EDUARDO CASTANO RIOS
CONTAS,Otros artículos publicados,Revista de divulgación,Los juicios pre científicos en el método contable,Colombia,Gestión y desarrollo libre,2539-3669,2017,2,4,105 - 134,CARLOS ALBERTO MUNOZ RESTREPONA
