grupo,categoria,Tipo_libro,Titulo,Pais,Ano,ISBN,Volumen,Paginas,Editorial,Autores
CONTAS,Otros Libros publicados,Otro libro publicado,Impuesto a la renta desde lo práctico,Colombia,2016,978-958-46-8868-2,,,CESAR AUGUSTO VALENCIA BAQUERO,CESAR AUGUSTO VALENCIA BAQUERO
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,La Ruptura Social Y Ontologica Con La Muerte,Alemania,2012,978-3-656-29604-1,0,19,Editorial GRIN GmbH,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,Bataille: Erotismo Y Filosofia,Alemania,2012,978-3-656-20155-7,0,6,Editorial GRIN GmbH,MILTON ANDRES ORTIZ ESCOBAR
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,Sonata De Una Muerte,Colombia,2008,978-958-44-4049-5,1,145,El Transeúnte Editor,VICTOR RAUL JARAMILLO RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,Filosofía Como Medicina: Una Mirada Hermenéutica,Colombia,2006,978-958-696-555-2,1,231,Universidad Pontificia Bolivariana,VICTOR RAUL JARAMILLO RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,Filosofia Como Medicina Una Mirada Hermeneutica,Colombia,2005,958-696-396-9,1,162,U.P.B.,VICTOR RAUL JARAMILLO RESTREPO
FILOSOFIA Y TEOLOGIA CRITICA,Otros Libros publicados,Otro libro publicado,La reunión del solitario,Colombia,2002,,,88,Universidad Pontificia Bolivariana,VICTOR RAUL JARAMILLO RESTREPO
URBANITAS,Otros Libros publicados,Otro libro publicado,"Piedra, papel y pixel: el texto digital en juego",Colombia,2020,978-958-8943-54-1,,,Fondo Editorial Universidad Católica Luis Amigó,CARLOS SUAREZ QUICENO
URBANITAS,Otros Libros publicados,Otro libro publicado,"Medellín, Ciudad Fragmentada. Modernidad, Comunicación Y Cultura En La Contemporaneidad.",Colombia,2008,978-958-44-3868-3,1,186,Fundación Universitaria Luis Amigó,PAOLO ANTONIO VILLALBA STORTI
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,"LECCIONES DE RÉGIMEN DISCIPLINARIO DE LOS SERVIDORES PÚBLICOS ""Serie de Conocimientos Prácticos""",Colombia,2018,978-958-707-311-9,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE EL DEBIDO PROCESO O PROCESO DEBIDO FUNDAMENTAL,Colombia,2018,9789587073133,,,EDICIONES EL PROFESIONAL LTDA,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,"LECCIONES DE CONTRATACIÓN ESTATAL, Serie de conocimientos practicos",Colombia,2018,978-958-707-307-2,,,Editorial Abc,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE RESPONSABILIDAD FISCAL Y JURISDICCION COACTIVA,Colombia,2018,9789587073126,,,EDICIONES EL PROFESIONAL LTDA,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE TECNICA DEL DERECHO. Sereie de conocimientos practicos,Colombia,2017,9789587072914,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Libro pedagógico y/o de divulgación,LECCIONES DE LÓGICA FORMAL APLICABLE DEL DERECHO,Colombia,2017,9789587072860,,,EDICIONES EL PROFESIONAL LTDA,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE RESPONSABILIDAD PATRIMONIAL DEL ESTADO COLOMBIANO,Colombia,2017,978-958-707-304-1,,,Editorial Abc,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DEL ACTO ADMINISTRATIVO Y EL DERECHO DE PETICIÓN. Serie de conocimientos prácticos,Colombia,2016,978-958-707-282-2,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE TEORÍA DE LA CONSTITUCIÓN. Serie de conocimientos prácticos,Colombia,2016,978-958-707-281-8,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE CONSTITUCIONALISMO EN COLOMBIA. Serie de conocimientos prácticos,Colombia,2016,978-958-707-280-8,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE DERECHO PROCESAL ADMINISTRATIVO. Serie de conocimientos prácticos.,Colombia,2016,978-958-707-277-8,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
CALIDAD DE VIDA,Otros Libros publicados,Otro libro publicado,LECCIONES DE ADMINISTRACIÓN PÚBLICA. Serie de conocimientos prácticos.,Colombia,2016,978-958-707-275-4,,,Editorial ABC,CARLOS RODRIGUEZ SANTOS
