grupo,categoria,Titulo,Pais,Ano,Disponibilidad,Nombre_comercial,Institucion_Financiadora,Autores
URBANITAS,Otros productos tecnológicos,Estuche modular universal para ereaders y tabletas,Colombia,2016,Restringido,Estuche modular universal para ereaders y tabletas,UNIVERSIDAD CATOLICA LUIS AMIGO,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO"
URBANITAS,Otros productos tecnológicos,Estuche modular universal para eReaders y tabletas,Colombia,2016,Restringido,Estuche modular universal para eReaders y tabletas,UNIVERSIDAD CATOLICA LUIS AMIGO,"EDWIN ANDRES SEPULVEDA CARDONA, CARLOS SUAREZ QUICENO"
CALIDAD DE VIDA,Otros productos tecnológicos,Plataforma Educativa para promover procesos de comprensión lectora,Colombia,2016,Restringido,KOOALA,UNIVERSIDAD CATOLICA LUIS AMIGO,ARGEMIRO JOSE AMAYA BUELVAS
CALIDAD DE VIDA,Otros productos tecnológicos,Reconstrucción de la Memoria Historia Asociación de Desplazados de VILLA PAZ,Colombia,2008,Restringido,,,MIGUEL EFREN GARCES PRETTEL
CALIDAD DE VIDA,Otros productos tecnológicos,"Reconstrucción de la Memoria Historia Comunidad Eclesial ""Castillo de Oración y Milagros""",Colombia,2007,Restringido,,,MIGUEL EFREN GARCES PRETTEL
CALIDAD DE VIDA,Otros productos tecnológicos,"Reconstrucción de la Memoria Historia Comunidad Eclesial ""Dios es Amor""",Colombia,2007,Restringido,IDEA 2007,Iglesia Dios es Amor,MIGUEL EFREN GARCES PRETTEL
CALIDAD DE VIDA,Otros productos tecnológicos,Analisis del Rio Sinú y el Impacto de URRA I,Colombia,2006,Restringido,,UNIVERSIDAD CATOLICA LUIS AMIGO,MIGUEL EFREN GARCES PRETTEL
CALIDAD DE VIDA,Otros productos tecnológicos,Reconstrucción historia de Vida de personas rehabilitadas de las drogas,Colombia,2002,Restringido,Video Drogas,UNIVERSIDAD DE CORDOBA,MIGUEL EFREN GARCES PRETTEL
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros productos tecnológicos,Sistematización del proceso de consolidación de la participación ciudadana en el Departamento de Antioquia,Colombia,2005,,,"CONCIUDADANIA, Corporación nuevo arco iris, FUNDAUNIBAN, IPC.",LUZ MERY ARIAS MUNOZ
FAMILIA DESARROLLO Y CALIDAD DE VIDA,Otros productos tecnológicos,Base de datos de información de autores en economía solidaria,Colombia,2004,Irrestricta,,FUNLAM,ALVARO OSORIO TUBERQUIA
GESNE,Otros productos tecnológicos,Base de datos de información de autores en economía solidaria,Colombia,2004,Irrestricta,,FUNLAM,"OLGA LUCIA ARBOLEDA ALVAREZ, ALVARO OSORIO TUBERQUIA"
