grupo,producto,categoria
CONTAS,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
FILOSOFIA Y TEOLOGIA CRITICA,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
URBANITAS,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
FARMACODEPENDENCIA Y OTRAS ADICCIONES,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
AYELEN,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
CALIDAD DE VIDA,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
ESTUDIOS DE FENOMENOS PSICOSOCIALES,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
FAMILIA DESARROLLO Y CALIDAD DE VIDA,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
"EDUCACION, INFANCIA Y LENGUAS EXTRANJERAS",NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
NEUROCIENCIAS BASICAS Y APLICADAS,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
GESNE,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
GORAS,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
JURIDICAS Y SOCIALES,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
SISCO,NO TIENE,PRODUCCIÓN TÉCNICA Y TECNOLÓGICA
