grupo,categoria,titulo,tipo_red,pais_ciudad,desde,hasta,numero_participantes
CONTAS,Redes de Conocimiento Especializado,ASOCIACIÓN LATINO AMERICANA DE FACULTADES Y ESCUELAS DE CONTADURÍA (ALAFEC),Real,Ciudad de México,2016-10-25,,1
CONTAS,Redes de Conocimiento Especializado,Red colombiana de editores y revistas de contabilidad - REDITORES,Real,MEDELLÍN,2015-07-15,,6
CONTAS,Redes de Conocimiento Especializado,RED DE INVESTIGADORES EN CONTABILIDAD SOCIAL Y AMBIENTAL,Real,MEDELLÍN,2011-11-30,,6
FILOSOFIA Y TEOLOGIA CRITICA,Redes de Conocimiento Especializado,Sociedad Iberoamericana de Antropología Filosófica,Real,Arequipa,2018-09-17,,1
FILOSOFIA Y TEOLOGIA CRITICA,Redes de Conocimiento Especializado,Red Latinoamericana de Teólogos y Teólogas del CEBITEPAL,Real,"BOGOTÁ, D.C.",2018-07-24,,1
URBANITAS,Redes de Conocimiento Especializado,Red Internacional de Historiógrafos de la Comunicación,Virtual,Santo Domingo,2016-10-07,,1
URBANITAS,Redes de Conocimiento Especializado,Red de Desarrollo Sostenible,Real,"BOGOTÁ, D.C.",2016-06-14,,1
URBANITAS,Redes de Conocimiento Especializado,Red Iberoamericana de Investigadores en Publicidad,Real,Quito,2016-06-08,,1
URBANITAS,Redes de Conocimiento Especializado,Red Latinoamericana de Prospectiva,Virtual,Santiago de Chile,2014-10-16,,1
URBANITAS,Redes de Conocimiento Especializado,Red Interuniversitaria Euroamericana de Investigación en Competencias Mediáticas para la Ciudadanía,Virtual,Huelva,2014-05-07,,1
URBANITAS,Redes de Conocimiento Especializado,Red Interuniversitaria Euroamericana de Investigación en Competencias Mediáticas para la Ciudadanía,Virtual,Huelva,2014-05-07,,1
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Redes de Conocimiento Especializado,Asodual Asociación Colombiana de Patología Dual,Real,MEDELLÍN,2019-03-19,,4
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Redes de Conocimiento Especializado,Sociedad Española De Patología Dual,Real,Madrid,2014-11-19,,1
FARMACODEPENDENCIA Y OTRAS ADICCIONES,Redes de Conocimiento Especializado,Sociedad Española de Patología Dual,Real,Madrid,2014-11-19,,3
AYELEN,Redes de Conocimiento Especializado,Evaluación y promoción de habilidades para la vida,Real,"BOGOTÁ, D.C.",2019-10-01,,1
AYELEN,Redes de Conocimiento Especializado,Red Colombiana de Investigación en Entornos Virtuales y a Distancia (RECIEVAD),Real,"BOGOTÁ, D.C.",2018-02-25,,1
AYELEN,Redes de Conocimiento Especializado,Red de  Practicas de Psicologia,Real,"BOGOTÁ, D.C.",2017-08-23,,1
AYELEN,Redes de Conocimiento Especializado,Red Internacional de Educadores Amigonianos,Virtual,"BOGOTÁ, D.C.",2016-01-01,,1
CALIDAD DE VIDA,Redes de Conocimiento Especializado,Red de Docentes de America Latina y del Caribe RedDOLAC,Real,MONTERÍA,2018-11-08,,1
CALIDAD DE VIDA,Redes de Conocimiento Especializado,RedColsi Red Colombiana de Semilleros de Investigación,Real,"BOGOTÁ, D.C.",2017-04-03,,1
