grupo,categoria,tipo_producto,titulo,pais,ano,ambito,fecha,objeto,autores
CONTAS,Regulaciones y Normas,Proceso,MANUAL DE POLÍTICAS CONTABLES BAJO AMBIENTE NIIF PARA LA DIÓCESIS DE SONSÓN RIONEGRO,Colombia,Colombia,N,"Enero-2015,","Este Manual de Políticas Contables bajo ambiente NIIF pymes contiene los criterios generales y específicos de medición, reconocimiento, presentación y revelación de los diferentes hechos que afectan o llegasen a afectar la situación financiera y los resultados de la Diócesis de Sonsón Rionegro. Institución financiadora: DIÓCESIS SONSÓN RIONEGRO","JOHN FERNANDO DIOSSA CASTRO, CARLOS MARIO VARGAS  RESTREPO"
CONTAS,Regulaciones y Normas,Técnica,Orientacion profesional PRESENTACION DE ESTADOS FINANCIEROS CON BASE EN ESTANDARES INTERNACIONALES DE CONTABILIDAD E INFORMACION FINANCIERA IAS/ IFRS,Colombia,Colombia,N,"Abril-2009,",Orientacion para el uso de estandares contables internacionales en empresas que participan en mercados internacionales Institución financiadora:,ELKIN HORACIO QUIROS LIZARAZO
ESTUDIOS DE FENOMENOS PSICOSOCIALES,Regulaciones y Normas,Educativa,"""Notas para la equidad, la participación y la diversidad, lineamientos para la política interna de la discapacidad en la Universidad Católica Luis Amigó""",Colombia,Colombia,N,"Noviembre-2017,","Fundamentar la política interna para el acompañamiento de la población con discapacidad, en la Universidad Católica Luis amigo. Institución financiadora: UNIVERSIDAD CATOLICA LUIS AMIGO",SANDRA ISABEL MEJIA ZAPATA
GORAS,Regulaciones y Normas,Social,"Regulaciones para aplicación de protocolos de psicología del consumidor en empleado y funcionarios de pequeñas empresas. Medellín, Antioquia. Noviembre de 2018",Colombia,Colombia,N,"Noviembre-2018,","Esta regulación tuvo como meta, propender por acercar los avances recientes de la psicología del consumidor a pequeñas empresas.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para evaluación de aspectos de neuropsicoeducación en empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Octubre 30 de 2018",Colombia,Colombia,N,"Octubre-2018,","La meta de esta regulación, fue la de implementar recursos devenidos de la neuropsicoeducación en pequeñas empresas.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para evaluación psicomotriz y lectoescritora de empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Septiembre 28 de 2018.",,,N,"Septiembre-2018,","El propósito de estas regulaciones, fue el de hacer mejoras significativas en el componente lector, escritor y motriz de los empleados desde la neuropsicología.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para el acceso a servicios de atención psicológica a empleados y funcionarios de pequeñas empresas. Medellín, Antioquia. Agosto 27 de 2018.",Colombia,Colombia,N,"Agosto-2018,","Debido a la falta de acceso a servicios de psicoprofilaxis, se presentaron estas regulaciones que tuvieron como meta, ayudar a que los empleados puedan participar de servicios de psicología clínica y familiar con mayor afabilidad.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para la gerencia y dirección de proyectos en pequeñas empresas. Medellín, Antioquia. Julio 15 de 2018.",Colombia,Colombia,N,"Julio-2018,","El propósito de estas regulaciones, fue el enseñarle a las Directivas de la empresa a elaborar proyectos para el sector público y privado.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","CARLOS ARANGO LOPERA, SINDY YULIANA GALLEGO TAVERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para atención de calidad al cliente en pequeñas empresas. Medellín, Antioquia. Junio 23 de 2018.",Colombia,Colombia,N,"Junio-2018,","Estas regulaciones, tuvieron como propósito, brindarle a los empleados, herramientas y estrategias para mejorar sus procesos de calidad en las fases de atención al cliente.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","CARLOS ARANGO LOPERA, SINDY YULIANA GALLEGO TAVERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
GORAS,Regulaciones y Normas,Educativa,"Regulaciones para delimitar las relaciones formales e informales dentro de las pequeñas empresas. Medellín, Antioquia. Mayo 16 de 2018.",Colombia,Colombia,N,"Mayo-2018,","El propósito de esta regulación, fue la de ayudar a mejorar las interrelaciones a nivel formal e informal en la empresa, de modo que ello contribuyó a optimizar los canales de comunicación.  Institución financiadora: Institución Universitaria Marco Fidel Suárez","SINDY YULIANA GALLEGO TAVERA, CARLOS ARANGO LOPERA, JUAN SEBASTIAN BENJUMEA GARCES, NICOLAS PARRA BOLANOS"
